"Data for Figure S5: Comparison between available regulatory POD values (PODreg,BMDh) and estimated PODp05BMDh (A-B), PODp15BMDh (C-D), PODp25BMDh (E-F), PODp35BMDh (G-H), differentiating between general non-cancer effects (left side, n=744) and reproductive/developmental effects (right side, n=41). The black line represents the 1:1 line, while the red line is the best fit. ",,,,,,,,,,,
non-reproductive/developmental effects (general non-cancer effects),,,,,,reproductive/developmental effects,,,,,
casrn,Log10 PODp05BMDh,Log10 PODp15BMDh,Log10 PODp25BMDh,Log10 PODp35BMDh,"Log10 PODreg,BMDh",casrn,Log10 PODp05BMDh,Log10 PODp15BMDh,Log10 PODp25BMDh,Log10 PODp35BMDh,"Log10 PODreg,BMDh"
127277-53-6,1.297,1.669,1.890,2.067,1.699,,,,,,
127-63-9,0.488,0.588,0.647,0.695,0.767,,,,,,
12789-03-6,-1.794,-1.453,-1.251,-1.089,-0.861,,,,,,
128-37-0,0.432,0.837,1.078,1.270,1.406,,,,,,
128639-02-1,-0.165,0.323,0.614,0.845,0.430,,,,,,
129-00-0,0.549,0.883,1.082,1.241,1.794,,,,,,
129630-19-9,0.222,0.787,1.122,1.391,1.176,,,,,,
129909-90-6,0.166,0.517,0.726,0.893,0.523,,,,,,
13071-79-9,-2.908,-2.573,-2.374,-2.215,-2.062,,,,,,
131341-86-1,0.583,0.899,1.086,1.236,0.828,,,,,,
1314-62-1,-1.002,-0.667,-0.468,-0.309,-0.186,,,,,,
1314-84-7,-1.175,-0.841,-0.642,-0.483,0.406,,,,,,
131807-57-3,-0.288,0.077,0.294,0.468,0.155,,,,,,
131860-33-8,0.692,0.946,1.098,1.219,1.178,,,,,,
131-89-5,-1.127,-0.793,-0.594,-0.435,0.477,,,,,,
131929-60-7,-0.199,0.136,0.335,0.494,0.882,,,,,,
13194-48-4,-2.357,-1.824,-1.507,-1.254,-1.690,,,,,,
1319-77-3,0.665,0.999,1.198,1.357,1.503,,,,,,
131983-72-7,0.308,0.671,0.886,1.059,1.098,,,,,,
132-64-9,-0.458,-0.123,0.076,0.235,0.477,,,,,,
132-65-0,-0.460,-0.125,0.074,0.233,0.356,,,,,,
1330-20-7,1.422,1.697,1.860,1.990,1.891,,,,,,
133-06-2,0.322,0.805,1.092,1.321,1.020,,,,,,
133-07-3,0.663,0.926,1.083,1.208,1.175,,,,,,
1330-78-5,-0.036,0.520,0.851,1.116,0.429,,,,,,
133-90-4,0.920,1.254,1.453,1.612,0.662,,,,,,
134098-61-6,-0.557,-0.261,-0.085,0.056,-0.149,,,,,,
134605-64-4,-0.816,-0.182,0.195,0.496,-0.046,,,,,,
13463-41-7,-1.521,-0.920,-0.563,-0.277,-0.121,,,,,,
135158-54-2,0.838,1.151,1.337,1.486,1.331,,,,,,
135410-20-7,0.562,0.774,0.900,1.000,0.804,,,,,,
13593-03-8,-1.956,-1.621,-1.422,-1.263,-0.903,,,,,,
135-98-8,0.940,1.274,1.473,1.632,1.906,,,,,,
13674-84-5,0.762,1.097,1.296,1.455,2.165,,,,,,
13674-87-8,-0.160,0.175,0.374,0.533,0.391,,,,,,
13684-56-5,-0.091,0.209,0.388,0.530,0.466,,,,,,
13684-63-4,0.530,0.858,1.053,1.209,1.301,,,,,,
137-26-8,-0.206,0.070,0.234,0.365,0.536,,,,,,
137-30-4,-0.272,0.123,0.358,0.546,0.602,,,,,,
138261-41-3,-0.534,-0.013,0.298,0.546,0.796,,,,,,
139-40-2,0.075,0.451,0.675,0.854,0.341,,,,,,
1405-41-0,0.493,0.828,1.027,1.186,1.398,,,,,,
140-57-8,-0.252,0.082,0.281,0.440,0.563,,,,,,
140-88-5,0.308,0.571,0.727,0.852,0.307,,,,,,
140923-17-7,0.111,0.445,0.644,0.803,0.787,,,,,,
141112-29-0,-0.605,-0.103,0.195,0.433,0.341,,,,,,
141517-21-7,0.336,0.644,0.827,0.973,0.532,,,,,,
141-66-2,-2.575,-2.134,-1.871,-1.661,-1.548,,,,,,
141776-32-1,1.102,1.457,1.668,1.836,1.421,,,,,,
141-78-6,2.141,2.324,2.433,2.520,2.668,,,,,,
142-28-9,1.113,1.348,1.487,1.599,1.739,,,,,,
142459-58-3,-0.925,-0.395,-0.080,0.171,-0.382,,,,,,
142-82-5,1.036,1.371,1.570,1.729,0.598,,,,,,
143-33-9,0.114,0.448,0.647,0.806,0.143,,,,,,
143390-89-0,0.898,1.232,1.431,1.590,1.509,,,,,,
143-50-0,-1.191,-0.766,-0.513,-0.310,-1.230,,,,,,
144550-36-7,0.328,0.677,0.884,1.050,1.346,,,,,,
1445-75-6,1.300,1.634,1.833,1.992,1.947,,,,,,
14484-64-1,0.048,0.383,0.582,0.741,0.084,,,,,,
145701-23-1,0.239,0.464,0.599,0.706,1.048,,,,,,
145-73-3,-0.800,-0.465,-0.266,-0.107,-0.136,,,,,,
14797-55-8,0.613,0.948,1.147,1.306,0.681,,,,,,
14797-65-0,-1.110,-0.775,-0.576,-0.417,0.477,,,,,,
14797-73-0,-2.802,-2.467,-2.268,-2.109,-1.590,,,,,,
148-18-5,0.724,1.059,1.258,1.417,1.295,,,,,,
148477-71-8,-0.079,0.516,0.871,1.154,0.288,,,,,,
148-79-8,0.494,0.751,0.903,1.025,0.982,,,,,,
149-30-4,0.635,1.000,1.217,1.390,0.734,,,,,,
149877-41-8,-0.171,0.018,0.130,0.220,0.415,,,,,,
149979-41-9,0.264,0.622,0.834,1.004,0.739,,,,,,
150114-71-9,0.730,1.064,1.263,1.422,1.681,,,,,,
150-50-5,-1.907,-1.573,-1.374,-1.215,-1.018,,,,,,
151-50-8,-0.069,0.258,0.453,0.608,0.143,,,,,,
15165-67-0,-0.077,0.257,0.456,0.615,0.421,,,,,,
152-16-9,-2.038,-1.704,-1.505,-1.346,-1.222,,,,,,
15299-99-7,0.552,0.842,1.014,1.152,1.135,,,,,,
153233-91-1,0.244,0.587,0.791,0.955,1.033,,,,,,
153719-23-4,-0.021,0.407,0.662,0.866,0.120,,,,,,
15541-45-4,-0.910,-0.575,-0.376,-0.217,0.082,,,,,,
155569-91-8,-0.606,-0.466,-0.383,-0.316,-1.328,,,,,,
156052-68-5,1.807,2.023,2.151,2.253,2.079,,,,,,
1563-66-2,-1.767,-1.276,-0.985,-0.752,-0.320,,,,,,
156-59-2,-0.187,0.147,0.346,0.506,0.572,,,,,,
156-60-5,1.248,1.721,2.002,2.227,1.838,,,,,,
1569-02-4,1.793,2.128,2.327,2.486,2.697,,,,,,
158062-67-0,0.271,0.415,0.501,0.569,0.491,,,,,,
1582-09-8,-0.266,0.200,0.477,0.698,0.523,,,,,,
1596-84-5,-0.298,0.435,0.871,1.220,1.128,,,,,,
15972-60-8,-0.501,-0.082,0.167,0.367,0.194,,,,,,
16065-83-1,1.904,2.239,2.438,2.597,3.119,,,,,,
1610-18-0,0.316,0.633,0.821,0.972,1.107,,,,,,
161050-58-4,0.925,1.338,1.583,1.780,0.961,,,,,,
161326-34-7,-0.098,0.429,0.742,0.993,0.492,,,,,,
163515-14-8,-0.335,0.000,0.199,0.358,0.660,,,,,,
1646-88-4,-1.271,-0.737,-0.420,-0.166,-0.649,,,,,,
16484-77-8,-0.552,-0.217,-0.018,0.141,0.477,,,,,,
165252-70-0,0.093,0.699,1.059,1.347,1.474,,,,,,
16672-87-0,-0.128,0.502,0.876,1.175,0.065,,,,,,
16752-77-5,-0.361,-0.046,0.141,0.291,0.854,,,,,,
1689-84-5,-0.193,0.057,0.206,0.324,0.569,,,,,,
1689-99-2,-0.176,0.159,0.358,0.517,0.651,,,,,,
1698-60-8,0.854,1.150,1.327,1.467,1.120,,,,,,
1702-17-6,1.012,1.396,1.624,1.806,1.217,,,,,,
173584-44-6,-0.611,-0.349,-0.193,-0.069,0.056,,,,,,
1746-01-6,-6.846,-6.012,-5.515,-5.119,-7.112,,,,,,
175013-18-0,0.069,0.279,0.403,0.503,0.501,,,,,,
177406-68-7,0.015,0.350,0.549,0.708,0.977,,,,,,
17804-35-2,0.618,0.950,1.147,1.305,1.029,,,,,,
178928-70-6,-0.450,-0.115,0.084,0.243,0.082,,,,,,
179101-81-6,-0.083,0.327,0.572,0.767,0.396,,,,,,
181274-15-7,1.537,1.852,2.040,2.190,1.914,,,,,,
181274-17-9,1.477,1.749,1.910,2.039,1.865,,,,,,
1832-54-8,1.494,1.829,2.028,2.187,2.398,,,,,,
18540-29-9,-1.006,-0.671,-0.472,-0.313,0.350,,,,,,
1861-32-1,-0.413,0.274,0.683,1.009,-0.008,,,,,,
1861-40-1,0.276,0.661,0.891,1.074,1.052,,,,,,
187166-40-1,-0.163,0.172,0.371,0.530,0.882,,,,,,
188425-85-6,1.123,1.268,1.354,1.423,1.457,,,,,,
188489-07-8,0.926,1.320,1.555,1.743,1.477,,,,,,
1897-45-6,-0.518,-0.008,0.296,0.539,0.458,,,,,,
19044-88-3,0.434,0.822,1.052,1.236,1.027,,,,,,
1910-42-5,-0.347,-0.153,-0.037,0.055,0.095,,,,,,
1912-24-9,-0.409,0.143,0.472,0.734,0.408,,,,,,
1918-00-9,0.483,0.818,1.017,1.176,1.043,,,,,,
1918-02-1,0.326,0.660,0.860,1.019,1.279,,,,,,
1918-16-7,0.560,0.790,0.926,1.035,0.902,,,,,,
191-90-6,0.145,0.479,0.679,0.838,0.222,,,,,,
1929-77-7,-1.039,-0.705,-0.506,-0.347,-0.136,,,,,,
1929-82-4,0.517,0.732,0.861,0.963,0.846,,,,,,
19406-51-0,-2.102,-1.767,-1.568,-1.409,-0.301,,,,,,
19408-46-9,0.102,0.436,0.635,0.795,1.094,,,,,,
19666-30-9,-0.696,-0.215,0.071,0.300,-0.437,,,,,,
1982-49-6,1.137,1.471,1.670,1.829,2.128,,,,,,
2008-41-5,0.678,0.826,0.914,0.984,1.009,,,,,,
2008-58-4,0.006,0.340,0.540,0.699,0.963,,,,,,
206-44-0,1.671,1.911,2.054,2.168,1.959,,,,,,
208465-21-8,1.926,2.158,2.296,2.407,2.588,,,,,,
20859-73-8,-2.156,-1.821,-1.622,-1.463,-1.467,,,,,,
2104-64-5,-2.951,-2.617,-2.418,-2.259,-1.960,,,,,,
2104-96-3,-0.252,0.082,0.281,0.440,0.563,,,,,,
210631-68-8,-1.464,-0.696,-0.239,0.126,-0.446,,,,,,
21087-64-9,-0.542,-0.109,0.148,0.353,0.740,,,,,,
210880-92-5,0.318,0.636,0.825,0.976,0.755,,,,,,
213464-77-8,-0.302,0.033,0.232,0.391,0.651,,,,,,
21564-17-0,0.245,0.580,0.779,0.938,0.969,,,,,,
2163-68-0,-0.274,0.175,0.441,0.655,-0.048,,,,,,
2164-07-0,-1.127,-0.793,-0.594,-0.435,-0.136,,,,,,
2164-17-2,-0.802,-0.211,0.141,0.422,0.371,,,,,,
21725-46-2,-3.412,-2.466,-1.904,-1.454,0.106,,,,,,
219714-96-2,0.949,1.189,1.333,1.447,1.565,,,,,,
220899-03-6,0.414,0.749,0.948,1.107,1.349,,,,,,
2212-67-1,-1.301,-0.593,-0.172,0.165,-0.960,,,,,,
22224-92-6,-2.284,-1.789,-1.494,-1.259,-1.447,,,,,,
22781-23-3,-1.255,-0.672,-0.325,-0.048,-1.039,,,,,,
22967-92-6,-1.781,-1.446,-1.247,-1.088,-2.284,,,,,,
23031-36-9,0.396,0.722,0.917,1.072,1.097,,,,,,
2303-17-5,-0.050,0.101,0.191,0.263,0.438,,,,,,
2310-17-0,-1.446,-0.989,-0.717,-0.500,-0.776,,,,,,
2312-35-8,-0.314,0.250,0.585,0.853,0.694,,,,,,
23135-22-0,-0.740,-0.424,-0.237,-0.086,-0.174,,,,,,
23422-53-9,-1.186,-0.751,-0.492,-0.285,-1.323,,,,,,
23564-05-8,0.398,0.755,0.967,1.137,0.975,,,,,,
2385-85-5,-1.838,-1.327,-1.023,-0.780,-1.100,,,,,,
239110-15-7,0.492,0.700,0.824,0.922,1.357,,,,,,
23950-58-5,0.287,0.606,0.796,0.948,0.994,,,,,,
2425-06-1,0.373,0.647,0.810,0.941,0.310,,,,,,
24307-26-4,1.492,1.678,1.789,1.877,1.834,,,,,,
2439-10-3,0.063,0.398,0.597,0.756,0.583,,,,,,
243973-20-8,0.547,0.881,1.080,1.239,1.468,,,,,,
24602-86-6,0.989,1.323,1.522,1.682,1.893,,,,,,
25057-89-0,-1.256,-0.539,-0.112,0.229,0.932,,,,,,
25155-30-0,0.809,1.144,1.343,1.502,1.676,,,,,,
25167-70-8,0.608,0.942,1.141,1.300,1.482,,,,,,
25311-71-1,-0.826,-0.491,-0.292,-0.133,-1.233,,,,,,
25321-14-6,-1.410,-0.805,-0.445,-0.157,-0.752,,,,,,
25606-41-1,0.505,0.879,1.102,1.280,0.866,,,,,,
