MoleculeID,LogWS_exp,LogWS_pred,WS_predRange,AD_WS,AD_index_WS,Conf_index_WS,LogWS_CAS_neighbor_1,LogWS_CAS_neighbor_2,LogWS_CAS_neighbor_3,LogWS_CAS_neighbor_4,LogWS_CAS_neighbor_5,LogWS_InChiKey_neighbor_1,LogWS_InChiKey_neighbor_2,LogWS_InChiKey_neighbor_3,LogWS_InChiKey_neighbor_4,LogWS_InChiKey_neighbor_5,LogWS_DTXSID_neighbor_1,LogWS_DTXSID_neighbor_2,LogWS_DTXSID_neighbor_3,LogWS_DTXSID_neighbor_4,LogWS_DTXSID_neighbor_5,LogWS_Exp_neighbor_1,LogWS_Exp_neighbor_2,LogWS_Exp_neighbor_3,LogWS_Exp_neighbor_4,LogWS_Exp_neighbor_5,LogWS_pred_neighbor_1,LogWS_pred_neighbor_2,LogWS_pred_neighbor_3,LogWS_pred_neighbor_4,LogWS_pred_neighbor_5,XLogP,naasC,minHBa,MLFER_A,nHBAcc,MAXDN,MLFER_E,mindNH,MDEO_11,apol,minHsOH
DTXSID9021390,-1.93,-1.93,[-1.96:-1.9],1,1,0.968,96-18-4,109-70-6,3017-95-6,930-28-9,110-57-6|764-41-0|1476-11-5,CFXQEHVMCRXUSD-UHFFFAOYSA-N,MFESCIUQSIBMSM-UHFFFAOYSA-N,PUJJZGFFAQHYEX-UHFFFAOYSA-N,NDTCXABJQNJPCF-UHFFFAOYSA-N,FQDIANVAWVHZIR-UHFFFAOYSA-N,DTXSID9021390,DTXSID1051565,DTXSID30871003,DTXSID7061306,DTXSID6020434|DTXSID9027310|DTXSID3027405,-1.93,-1.85,-1.85,-2.23,-2.28,-1.84,-1.95,-1.88,-1.92,-2.09,2.379,0,1.29882544581619,0.022,0,0.0891632373113855,0.43,0,0,15.153965,0
DTXSID3047766,NaN,-1.82,[-1.94:-1.7],1,0.877,0.914,3017-95-6,109-70-6,563-54-2,79-01-6,542-75-6|10061-01-5|10061-02-6,PUJJZGFFAQHYEX-UHFFFAOYSA-N,MFESCIUQSIBMSM-UHFFFAOYSA-N,PPKPKFIWDXDAGC-UHFFFAOYSA-N,XSTXAVWGXDQKEL-UHFFFAOYSA-N,UOORRWUZONOOLO-UHFFFAOYSA-N,DTXSID30871003,DTXSID1051565,DTXSID2060337,DTXSID0021383,DTXSID1022057|DTXSID1032305|DTXSID2042480,-1.85,-1.85,-1.61,-2,-1.75,-1.88,-1.95,-1.63,-1.99,-1.57,2.346,0,1.13678840877915,0.022,0,0.208890603566529,0.565,0,0,13.820379,0
DTXSID60859935,NaN,1.05,[1.05:1.05],1,0.998,0.997,5856-63-3,97-99-4,124-68-5,453-20-3,78-96-6,JCBPETKZIGVZRE-UHFFFAOYSA-N,BSYVTEYKTMYBMK-UHFFFAOYSA-N,CBTVGIZVANVGBH-UHFFFAOYSA-N,XDPCNPCKDGQBAN-UHFFFAOYSA-N,HXKKHQJGJAFBHI-UHFFFAOYSA-N,DTXSID9029275,DTXSID1029128,DTXSID8027032,DTXSID20868947,DTXSID9021764,1.05,0.99,1.05,1.05,1.12,1.05,1.02,1.05,1.06,1.05,-0.457,0,5.22222222222222,0.281,2,1.39236111111111,0.408,0,0,16.276723,0.705138888888889
DTXSID6021820,-0.26,-0.26,[-0.3:-0.22],1,1,0.988,96-22-0,563-80-4,107-87-9,75-97-8,565-69-5,FDPIMTJIUBPUKL-UHFFFAOYSA-N,SYBYTAAJFKOIEJ-UHFFFAOYSA-N,XNLICIUVMPYHGG-UHFFFAOYSA-N,PJGSXYOJTGTZAV-UHFFFAOYSA-N,HYTRYEXINDDXJK-UHFFFAOYSA-N,DTXSID6021820,DTXSID0022062,DTXSID0021888,DTXSID5021752,DTXSID2073196,-0.26,-0.14,-0.25,-0.72,-0.81,-0.26,-0.29,-0.41,-0.6,-0.7,0.691,0,10.1805555555556,0.003,1,1.32407407407407,0.179,0,0,16.26993,0
DTXSID6025010,-0.11,-0.11,[-0.14:-0.08],1,1,0.945,96-23-1,563-84-8,115-20-8,76-00-6,558-42-9,DEWLEGDTCGBNGU-UHFFFAOYSA-N,XKEHIUIIEXXHJX-UHFFFAOYSA-N,KPWDGTGXUYRARH-UHFFFAOYSA-N,HCMBPASAOZIEDZ-UHFFFAOYSA-N,JNOZGFXJZQXOSU-UHFFFAOYSA-N,DTXSID6025010,DTXSID2021527,DTXSID1021950,DTXSID90870395,DTXSID20204381,-0.11,-0.21,-0.25,-0.76,0.16,-0.29,-0.17,-0.26,-0.3,-0.29,1.068,0,1.00793038408779,0.45,1,1.25274348422497,0.444,0,0,14.442758,0.599691358024691
DTXSID4020664,0.46,0.46,[0.4:0.52],1,1,0.934,96-24-2,111-48-8,3278-46-4,75-99-0,127-20-8,SSZWWUDQMAHNAQ-UHFFFAOYSA-N,YODZTKMDCQEPHD-UHFFFAOYSA-N,QZEKHJXYZSJVCL-UHFFFAOYSA-N,NDUPDOJHUQKPAG-UHFFFAOYSA-N,NDUPDOJHUQKPAG-UHFFFAOYSA-N,DTXSID4020664,DTXSID6026878,DTXSID0041777,DTXSID2021575,DTXSID5024001,0.46,0.91,-1.75,0.55,0.58,0.26,-0.12,-0.03,0.57,0.57,-0.406,0,0.821757544581619,0.655,2,1.769890260631,0.468,0,0.333333333333333,13.731551,0.663734567901235
DTXSID0025072,NaN,0.51,[-0.18:1.05],1,1,0.758,50-21-5,72-17-3,128-00-7,2833-21-8,2211-14-5,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,XGTKSWVCNVUVHG-UHFFFAOYSA-N,MVGBKLTYYAYYGY-UHFFFAOYSA-N,DTXSID7023192,DTXSID6052829,DTXSID50875568,DTXSID00878786,DTXSID301036164,1.05,0.95,-0.47,-0.23,0.94,0.24,0.24,0.24,0.62,0.18,-0.591,0,7.74074074074074,0.686,3,2.85185185185185,0.331,0,1.14471424255333,11.686758,0.771180555555556
DTXSID5046512,NaN,1.04,[0.98:1.1],1,0.629,0.764,584-03-2,513-85-9,107-88-0,57-55-6,126-30-7,BMRWNKZVCUKKSR-UHFFFAOYSA-N,OWBTYPJTUOEWEK-UHFFFAOYSA-N,PUPZLCDOIYMWBV-UHFFFAOYSA-N,DNIAPMSPPWPWGF-UHFFFAOYSA-N,SLCVBVWXLSEKPL-UHFFFAOYSA-N,DTXSID6040375,DTXSID8041321,DTXSID8026773,DTXSID0021206,DTXSID8027036,1.05,1.05,1.05,1.12,0.94,0.72,0.73,0.49,0.53,0.53,-0.499,0,8.11489197530864,0.604,2,1.75891632373114,0.91,0,0.333333333333333,15.118344,0.662191358024691
DTXSID1021821,0.06,0.05,[-0.07:0.06],1,1,0.791,96-29-7,110-69-0,2229-00-7|3349-62-0,100-64-1,95-45-4,WHIVNJATOVLWBW-UHFFFAOYSA-N,KGGVGTQEGGOZRN-UHFFFAOYSA-N,WNPVAXLJVUXYFU-UHFFFAOYSA-N,VEZUQRBDRNJBJY-UHFFFAOYSA-N,JGUQDUKBUKFFRO-UHFFFAOYSA-N,DTXSID1021821,DTXSID2024664,DTXSID80878941|DTXSID20878940,DTXSID4021842,DTXSID2044393,0.06,-1.94,-0.84,-0.8,-2.29,-1.3,-0.56,-1.32,-1.27,-1.57,0.681,0,7.92273148148148,0.003,0,0.893518518518518,0.398,0,0,14.943137,0.889166666666667
DTXSID5025156,1,0.99,[0.89:1.07],1,1,0.825,96-31-1,19264-34-7,616-45-5,871-78-3,6050-26-6,MGJKQDOBUOMPEZ-UHFFFAOYSA-N,NAQKKBXQFQIQAB-UHFFFAOYSA-N,HNJBEVLQSNELDL-UHFFFAOYSA-N,WNYIBZHOMJZDKN-UHFFFAOYSA-N,GOJDSMIXPMMHPO-UHFFFAOYSA-N,DTXSID5025156,DTXSID80336753,DTXSID8027246,DTXSID70236132,DTXSID70209245,1,-0.81,1.07,0.68,-1.71,0.07,-1.15,0.52,-0.61,-1.1,-0.65,0,2.36458333333333,0.574,3,1.82407407407407,0.345,0,0,13.616344,0
