MoleculeID,LogP_exp,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP,LogP_CAS_neighbor_1,LogP_CAS_neighbor_2,LogP_CAS_neighbor_3,LogP_CAS_neighbor_4,LogP_CAS_neighbor_5,LogP_InChiKey_neighbor_1,LogP_InChiKey_neighbor_2,LogP_InChiKey_neighbor_3,LogP_InChiKey_neighbor_4,LogP_InChiKey_neighbor_5,LogP_DTXSID_neighbor_1,LogP_DTXSID_neighbor_2,LogP_DTXSID_neighbor_3,LogP_DTXSID_neighbor_4,LogP_DTXSID_neighbor_5,LogP_Exp_neighbor_1,LogP_Exp_neighbor_2,LogP_Exp_neighbor_3,LogP_Exp_neighbor_4,LogP_Exp_neighbor_5,LogP_pred_neighbor_1,LogP_pred_neighbor_2,LogP_pred_neighbor_3,LogP_pred_neighbor_4,LogP_pred_neighbor_5,CrippenLogP,GATS2c,LipoaffinityIndex,AATS1p,ATSC1i,ETA_EtaP,MLFER_S,nN,ETA_Beta,SaltIndex
DTXSID4041284,NaN,3.39,[1.96:4.82],1,0.401,0.341,80475-32-7,24448-09-7,67584-59-2,67584-55-8,23757-42-8,KBDMGVIUNQWTND-UHFFFAOYSA-N,PLGACQRCZCVKGK-UHFFFAOYSA-N,BEIWUHUHJDEMQO-UHFFFAOYSA-N,KEMCLRGAIUJRAN-UHFFFAOYSA-N,KYWMWUUMCDZISK-UHFFFAOYSA-N,DTXSID80880983,DTXSID7027831,DTXSID6070510,DTXSID7070507,DTXSID50178425,1.35,4.58,4.89,4.19,3.35,5.21,3.73,3.83,4.6,3.36,3.56579,1.38426420603464,10.5501047189403,1.60956641283019,-41.5613208197431,1.31132,0.38,2,26.25,0
DTXSID1047368,NaN,2.26,[0.62:3.9],1,0.385,0.356,219714-96-2,NOCAS_875438,NOCAS_875496,65277-42-1,137057-73-9,SYJGKVOENHZYMQ-UHFFFAOYSA-N,DNEPMKJBNSMGHH-UHFFFAOYSA-N,GXVACLPBBHWGFW-UHFFFAOYSA-N,XMAYWYJOQHXEEK-UHFFFAOYSA-N,DDSASLDKGLUKFA-UHFFFAOYSA-N,DTXSID0034803,DTXSID60875438,DTXSID40875496,DTXSID7029879,,-0.35,1.89,2.15,4.35,3.65,1.24,2.87,2.21,2.88,2.93,3.92395000000001,1.07060256683929,8.22042698897793,1.8129285056,-38.477345776374,1.06089,4.343,4,44.25,0
DTXSID1029257,NaN,7.33,[6.07:8.59],1,0.659,0.47,17438-89-0,3386-33-2,112-88-9,629-97-0,105351-42-6,PJKDPLADZLQFAS-UHFFFAOYSA-N,VUQPJRPDRDVQMN-UHFFFAOYSA-N,CCCMONHAUSKTEQ-UHFFFAOYSA-N,HOWGUJZVBDQJKV-UHFFFAOYSA-N,NQFRXZWQQRMBCY-UHFFFAOYSA-N,DTXSID3029314,DTXSID3027536,DTXSID3026932,DTXSID7047063,DTXSID001177923,6.5,9.43,8,6,6.5,7.42,5.9,8.47,5.18,6.49,7.75019000000001,1.36055221864401,14.5192213037353,1.6530656338983,-2.42973897264539,1.28749,0.167,0,10.5,0
DTXSID7029661,3.56,3.56,[3.53:3.59],1,1,0.968,3452-97-9,1247790-47-1,106-21-8,1490-04-6|2216-51-5|89-78-1|,5809-08-5,BODRLKRKPXBDBN-UHFFFAOYSA-N,NTDKHABICKZMPG-UHFFFAOYSA-N,PRNCMAKCNVRZFX-UHFFFAOYSA-N,NOOLISFMXDJSKH-UHFFFAOYSA-N,MIRQGKQPLPBZQM-UHFFFAOYSA-N,DTXSID7029661,DTXSID90889280,DTXSID5044360,DTXSID8029650|DTXSID1022180|DTXSID1020805|,DTXSID3064011,3.56,3.47,3.99,3.34,2.9,3.47,3.47,3.96,3.35,3.14,2.4411,0.754518779440754,5.42052394274376,1.56353965089655,-1.02864097908042,1.197,0.331,0,4.75,0
DTXSID3024609,NaN,1.77,[1.02:2.75],1,0.494,0.589,3296-90-0,1160806-44-9,87172-89-2,87172-89-2,147126-62-3,CHUGKEQJSLOLHL-UHFFFAOYSA-N,JEGZRCOIHFVAGQ-UHFFFAOYSA-N,IFQZADDJTDGGCP-UHFFFAOYSA-N,IFQZADDJTDGGCP-UHFFFAOYSA-N,KXKDZLRTIFHOHW-UHFFFAOYSA-N,DTXSID9020164,DTXSID601035703,DTXSID101148521,DTXSID101148521,DTXSID90933035,1.06,3,1.02,1.02,3.18,1.68,2.94,1.03,1.03,3.25,1.5274,0.822214927646017,3.27428051440329,1.83463115383333,1.37441975489826,1.37788,1.164,0,5.5,0
DTXSID9063039,4.4,4.4,[4.36:4.44],1,1,0.911,3457-61-2,67633-94-7,83123-89-1,943-93-1,286-99-7,BIISIZOQPWZPPS-UHFFFAOYSA-N,KSEFBQCEGMTNPD-UHFFFAOYSA-N,IIHBKMUVOSTVMZ-UHFFFAOYSA-N,OWUVDWLTQIPNLN-UHFFFAOYSA-N,VLJLXEKIAALSJE-UHFFFAOYSA-N,DTXSID9063039,DTXSID3052351,DTXSID80874620,DTXSID201034389,DTXSID00883355,4.4,3.9,5.09,3.39,4.7,4.07,3.71,4.48,4.68,5.33,3.3273,1.14328908747296,7.32486920138889,1.68741629142857,-1.37662083978615,1.00414,0.765,0,14,0
DTXSID60956155,NaN,1.35,[0.41:2.29],0,0.141,0.357,847842-48-2,65036-46-6,3160-86-9,99294-93-6,26919-50-6,MCGSCOLBFJQGHM-UHFFFAOYSA-N,APIDSQKETXQPQW-UHFFFAOYSA-N,NAQMVNRVTILPCV-UHFFFAOYSA-N,ZAFYATHCZYHLPB-UHFFFAOYSA-N,ASJPRZHJNRBKTI-UHFFFAOYSA-N,DTXSID001085893,DTXSID0070150,DTXSID6062880,DTXSID00912795,DTXSID0067268,1.17,1.55,2,2.42,-0.43,0.69,0.58,-1.29,1.12,-0.1,-2.19019,0.57953020393577,-0.361108673705594,1.67126608607143,-22.7954174255849,0.58453,3.014,10,24.5,3533
DTXSID0044658,0.62,0.62,[0.59:0.65],1,1,0.934,3468-11-9,95-23-8,20198-19-0,1574-10-3,97183-52-3,RZVCEPSDYHAHLX-UHFFFAOYSA-N,BCXSVFBDMPSKPT-UHFFFAOYSA-N,SDTFBAXSPXZDKC-UHFFFAOYSA-N,KVFZMSZLLPWGKD-UHFFFAOYSA-N,KEGFDOLDYFMDHT-UHFFFAOYSA-N,DTXSID0044658,DTXSID5059119,DTXSID60287618,DTXSID90879409,DTXSID50878918,0.62,-0.33,0.6,1.27,0.98,0.4,1.04,0.72,0.99,0.9,0.75234,0.472265575904418,2.12764981481481,1.83528013142857,5.13644745909994,0.55004,1.266,3,13,0
DTXSID6029258,2.45,2.45,[2.45:2.5],1,1,0.822,3468-63-1,13181-17-4,2814-77-9,2425-85-6,22506-53-2,HBHZKFOUIUMKHV-UHFFFAOYSA-N,XTFNPKDYCLFGPV-UHFFFAOYSA-N,XLTMWFMRJZDFFD-UHFFFAOYSA-N,ZLFVRXUOSPRRKQ-UHFFFAOYSA-N,FGDKXSJXYFAHHH-UHFFFAOYSA-N,DTXSID6029258,DTXSID1041681,DTXSID7044637,DTXSID8021226,DTXSID40177028,2.45,3.3,3.45,3.7,4.44,3.49,3.5,3.66,3.9,3.54,4.95478,1.0742435829327,4.25090138431087,1.92957045340541,20.5700754733713,0.52386,1.763,4,40.75,0
DTXSID9029358,0,-0,[-0.09:0],1,1,0.753,34690-00-1,15827-60-8,23605-74-5,1429-50-1,987-65-5,YWMWZKYVGNWJPU-UHFFFAOYSA-N,DUYCTCQXNHFCSJ-UHFFFAOYSA-N,KIDJHPQACZGFTI-UHFFFAOYSA-N,NFDRPXJGHKJRLJ-UHFFFAOYSA-N,ZKHQWZAMYRWXGA-UHFFFAOYSA-N,DTXSID9029358,DTXSID0027775,DTXSID9066916,DTXSID3061689,DTXSID80891312,0,-3.4,-4.43,0,-2.66,-2.31,-0.75,-1.75,-3.46,-0.13,-2.54279999999999,0.769910180473872,1.38884182352003,1.94710345060241,-29.4525737832789,1.3606,9.081,3,33,0
