MoleculeID,LogBCF_exp,LogBCF_pred,BCF_predRange,AD_BCF,AD_index_BCF,Conf_index_BCF,LogBCF_CAS_neighbor_1,LogBCF_CAS_neighbor_2,LogBCF_CAS_neighbor_3,LogBCF_CAS_neighbor_4,LogBCF_CAS_neighbor_5,LogBCF_InChiKey_neighbor_1,LogBCF_InChiKey_neighbor_2,LogBCF_InChiKey_neighbor_3,LogBCF_InChiKey_neighbor_4,LogBCF_InChiKey_neighbor_5,LogBCF_DTXSID_neighbor_1,LogBCF_DTXSID_neighbor_2,LogBCF_DTXSID_neighbor_3,LogBCF_DTXSID_neighbor_4,LogBCF_DTXSID_neighbor_5,LogBCF_Exp_neighbor_1,LogBCF_Exp_neighbor_2,LogBCF_Exp_neighbor_3,LogBCF_Exp_neighbor_4,LogBCF_Exp_neighbor_5,LogBCF_pred_neighbor_1,LogBCF_pred_neighbor_2,LogBCF_pred_neighbor_3,LogBCF_pred_neighbor_4,LogBCF_pred_neighbor_5,XLogP,CrippenLogP,nHBAcc,minsCl,LipinskiFailures,ALogP,naasC,nAcid,ATSC0v,ATSC1s
DTXSID9047415,NaN,1.07,[0.3:2],1,0.503,0.466,1490-04-6|2216-51-5,78-59-1,298-06-6,102-70-5,79-92-5,NOOLISFMXDJSKH-UHFFFAOYSA-N,HJOVHMDZYOCNQW-UHFFFAOYSA-N,IRDLUHRVLVEUHA-UHFFFAOYSA-N,VPYJNCGUESNPMV-UHFFFAOYSA-N,CRPUJAZIXJMDBK-UHFFFAOYSA-N,DTXSID8029650|DTXSID1022180,DTXSID8020759,DTXSID6027133,DTXSID5026174,DTXSID8026488,1.04,0.3,0.7,0.55,2.98,2.15,1.25,1.13,1.14,2.17,2.932,2.91228,1,0,0,2.1341,0,0,1611.74723686558,-6.28868950737847
DTXSID3041663,NaN,2.07,[1.43:2.71],1,0.48,0.537,103-50-4,119-61-9,2104-64-5,2498-66-0,82-05-3,MHDVGSVTJDSBDK-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N,AIGRXSNSLVJMEA-UHFFFAOYSA-N,LHMRXAIRPKSGDE-UHFFFAOYSA-N,HUKPVYBUJRAUAG-UHFFFAOYSA-N,DTXSID5025819,DTXSID0021961,DTXSID7022174,DTXSID8051916,DTXSID8052566,2.43,1.08,2.97,1.69,2.09,2.26,2.63,2.75,1.33,2.31,7.133,3.15488,2,0,1,0.2816,2,0,1683.35692126291,-2.2333984375
DTXSID7044506,NaN,0.94,[0.3:1.58],1,0.57,0.588,2631-40-5,134-62-3,91-66-7,103-83-3,579-10-2,QBSJMKIUCUGGNG-UHFFFAOYSA-N,MMOXZBCLCQITDF-UHFFFAOYSA-N,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,XXBDWLFCJWSEKW-UHFFFAOYSA-N,LMTGCJANOQOGPI-UHFFFAOYSA-N,DTXSID6042072,DTXSID2021995,DTXSID8021800,DTXSID8021854,DTXSID8060373,0.95,0.38,2.01,1.15,0.18,1.03,1.07,1.44,0.9,1.01,3.929,2.02609,2,0,0,0.186,1,0,1237.79155614217,-1.34606481481481
DTXSID7044764,NaN,1.3,[0.62:1.98],1,0.59,0.604,134-62-3,2631-40-5,3766-81-2,91-66-7,544-01-4,MMOXZBCLCQITDF-UHFFFAOYSA-N,QBSJMKIUCUGGNG-UHFFFAOYSA-N,DIRFUJHNVNOBMY-UHFFFAOYSA-N,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,AQZGPSLYZOOYQP-UHFFFAOYSA-N,DTXSID2021995,DTXSID6042072,DTXSID4058077,DTXSID8021800,DTXSID8052198,0.38,0.95,1.41,2.01,2.23,1.07,1.03,1.46,1.44,2.04,4.475,2.66219,2,0,0,0.9104,1,0,1557.3847964813,-1.51759259259259
DTXSID5025819,2.43,2.43,[2.39:2.47],1,1,0.94,103-50-4,119-61-9,105-05-5,141-93-5,83-32-9,MHDVGSVTJDSBDK-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N,DSNHSQKRULAAEI-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,CWRYPZZKDGJXCA-UHFFFAOYSA-N,DTXSID5025819,DTXSID0021961,DTXSID4026711,DTXSID1022003,DTXSID3021774,2.43,1.08,2.68,2.73,2.88,2.26,2.63,2.73,2.68,2.48,5.836,2.7244,1,0,1,-0.1309,2,0,1578.46607310266,-0.312128418549347
DTXSID6047604,NaN,1.55,[0.72:2.38],1,0.582,0.56,3766-81-2,118-44-5,134-62-3,2631-40-5,103-44-6,DIRFUJHNVNOBMY-UHFFFAOYSA-N,KDFFXYVOTKKBDI-UHFFFAOYSA-N,MMOXZBCLCQITDF-UHFFFAOYSA-N,QBSJMKIUCUGGNG-UHFFFAOYSA-N,DSSAWHFZNWVJEC-UHFFFAOYSA-N,DTXSID4058077,DTXSID8059473,DTXSID2021995,DTXSID6042072,DTXSID20870444,1.41,2.32,0.38,0.95,2.78,1.46,2.31,1.07,1.03,1.93,4.751,2.80629,2,0,0,-0.0257999999999995,1,0,1557.3847964813,-0.449074074074073
DTXSID2044765,NaN,1.37,[0.67:2.07],1,0.571,0.598,2631-40-5,134-62-3,3766-81-2,118-44-5,91-66-7,QBSJMKIUCUGGNG-UHFFFAOYSA-N,MMOXZBCLCQITDF-UHFFFAOYSA-N,DIRFUJHNVNOBMY-UHFFFAOYSA-N,KDFFXYVOTKKBDI-UHFFFAOYSA-N,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,DTXSID6042072,DTXSID2021995,DTXSID4058077,DTXSID8059473,DTXSID8021800,0.95,0.38,1.41,2.32,2.01,1.03,1.07,1.46,2.31,1.44,4.548,2.31408,2,0,0,0.3982,1,0,1299.09694631227,-2.27222222222222
DTXSID7042279,NaN,1.33,[0.66:2],1,0.602,0.614,2631-40-5,134-62-3,3766-81-2,91-66-7,544-01-4,QBSJMKIUCUGGNG-UHFFFAOYSA-N,MMOXZBCLCQITDF-UHFFFAOYSA-N,DIRFUJHNVNOBMY-UHFFFAOYSA-N,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,AQZGPSLYZOOYQP-UHFFFAOYSA-N,DTXSID6042072,DTXSID2021995,DTXSID4058077,DTXSID8021800,DTXSID8052198,0.95,0.38,1.41,2.01,2.23,1.03,1.07,1.46,1.44,2.04,3.14,2.99928,2,0,0,0.5123,1,0,1563.55110166108,-2.13888888888889
DTXSID2059277,NaN,1.82,[1.08:2.57],1,0.506,0.502,103-50-4,119-61-9,14816-18-3,102-06-7,606-28-0,MHDVGSVTJDSBDK-UHFFFAOYSA-N,RWCCWEUUXYIKHB-UHFFFAOYSA-N,ATROHALUCMTWTB-UHFFFAOYSA-N,OWRCNXZUPFZXOS-UHFFFAOYSA-N,NQSMEZJWJJVYOI-UHFFFAOYSA-N,DTXSID5025819,DTXSID0021961,DTXSID8034324,DTXSID3025178,DTXSID2060549,2.43,1.08,2.91,1.3,1.15,2.26,2.63,1.81,1.65,1.55,5.37,3.09428,2,0,1,0.1864,1,0,1625.56386640615,-1.13082437275986
DTXSID501014586,NaN,1.66,[1.51:1.81],1,0.692,0.76,98-82-8,98-83-9,91-57-6,100-80-1,622-97-9,RWGFKTVRMDUZSP-UHFFFAOYSA-N,XYLMUPLGERFSHI-UHFFFAOYSA-N,QIMMUPPBPVKWKM-UHFFFAOYSA-N,JZHGRUMIRATHIU-UHFFFAOYSA-N,JLBJTVDPSNHSKJ-UHFFFAOYSA-N,DTXSID1021827,DTXSID9025661,DTXSID4020878,DTXSID9051454,DTXSID3020889,1.55,1.8,1.87,1.55,1.5,2.31,1.87,2.36,1.5,1.55,5.206,2.86949,0,0,1,0.8463,1,0,997.558500117448,-0.344521604938271
DTXSID3042219,NaN,2.13,[1.65:2.61],1,0.67,0.666,98-82-8,119-64-2,91-20-3,91-57-6,83-32-9,RWGFKTVRMDUZSP-UHFFFAOYSA-N,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,UFWIBTONFRDIAS-UHFFFAOYSA-N,QIMMUPPBPVKWKM-UHFFFAOYSA-N,CWRYPZZKDGJXCA-UHFFFAOYSA-N,DTXSID1021827,DTXSID1026118,DTXSID8020913,DTXSID4020878,DTXSID3021774,1.55,2.53,1.93,1.87,2.88,2.31,2.27,2.26,2.36,2.48,5.523,2.6391,0,0,1,-0.1743,1,0,1157.79812625886,0.0886243386243382
DTXSID0021129,NaN,0.93,[0.75:1.11],1,0.56,0.726,108-88-3,71-43-2,121-69-7,103-69-5,100-42-5,YXFVVABEGXRONW-UHFFFAOYSA-N,UHOVQNZJYSORNB-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,DTXSID7021360,DTXSID3039242,DTXSID2020507,DTXSID1025271,DTXSID2021284,0.92,0.63,0.9,1.11,1.13,1.19,1.26,1.16,0.97,1.12,4.164,1.39209,1,0,0,0.2643,1,0,751.03471530815,0.0848765432098758
DTXSID7059278,NaN,1.64,[1.11:2.19],1,0.615,0.676,108-86-1,108-87-2,77-73-6,103-69-5,612-22-6,QARVLSVVCXYDNA-UHFFFAOYSA-N,UAEPNZWRGJTJPN-UHFFFAOYSA-N,HECLRDQVFMWTQS-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,PXWYZLWEKCMTEZ-UHFFFAOYSA-N,DTXSID5024637,DTXSID0047749,DTXSID5025023,DTXSID1025271,DTXSID4073209,1.36,2.27,2.34,1.11,1.11,0.99,1.98,2.48,0.97,1.32,2.986,2.58609,0,0,0,0.1986,1,0,1006.32921437251,-0.577485380116959
DTXSID3021853,NaN,0.41,[0.09:0.65],1,0.525,0.683,111-40-0,111-41-1,110-85-0,110-91-8,123-91-1,RPNUMPOLZDHAAY-UHFFFAOYSA-N,LHIJANUOQQMGNT-UHFFFAOYSA-N,GLUUGHFHXGJENI-UHFFFAOYSA-N,YNAVUWVOSKDBBP-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,DTXSID2025050,DTXSID7025423,DTXSID1021164,DTXSID2025688,DTXSID4020533,0.65,0.46,0.59,0.45,-0.3,0.52,0.62,0.24,0.2,0.35,-1.242,-1.1161,3,0,0,-0.797900000000001,0,0,1017.30409735714,-2.42391304347826
DTXSID3049673,NaN,0.09,[-0.18:0.36],1,0.509,0.702,115-77-5,102-71-6,122-20-3,512-56-1,680-31-9,WXZMFSXDPGVJKK-UHFFFAOYSA-N,GSEJCLTVZPLZKY-UHFFFAOYSA-N,SLINHMUFWFWBMU-UHFFFAOYSA-N,WVLBCYQITXONBZ-UHFFFAOYSA-N,GNOIPBMMFNIUFM-UHFFFAOYSA-N,DTXSID2026943,DTXSID9021392,DTXSID5021415,DTXSID1021403,DTXSID6020694,0.1,0.59,-0.24,0.15,-0.3,0.16,0.24,0.12,0.17,0.22,-1.658,-1.8068,4,0,0,-1.8014,0,0,822.286870644482,-18.9686419753086
DTXSID2021656,NaN,0.55,[0.36:0.74],1,0.471,0.72,121-92-6,10541-83-0,86-87-3,92-70-6,75-98-9,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,ZVIDMSBTYRSMAR-UHFFFAOYSA-N,PRPINYUDVPFIRX-UHFFFAOYSA-N,ALKYHXVLJMQRLQ-UHFFFAOYSA-N,IUGYQRQAERSCNH-UHFFFAOYSA-N,DTXSID0025737,DTXSID8065117,DTXSID8020915,DTXSID3026560,DTXSID8026432,0.85,0.38,0.47,0.6,0.36,0.6,0.64,0.56,0.55,0.67,3.08,1.54759,2,0,0,-0.205,1,1,905.249411967367,-5.65586419753086
DTXSID8021854,1.15,1.15,[1.13:1.15],1,1,0.928,103-83-3,121-69-7,103-69-5,696-44-6,622-57-1,XXBDWLFCJWSEKW-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,AASABFUMCBTXRL-UHFFFAOYSA-N,DTXSID8021854,DTXSID2020507,DTXSID1025271,DTXSID2061014,DTXSID7060754,1.15,0.9,1.11,0.86,0.61,0.9,1.16,0.97,0.93,1.15,2.971,1.4087,1,0,0,0.2294,1,0,1211.70663342691,-0.136473429951693
DTXSID2020006,NaN,1.06,[0.68:1.44],1,0.616,0.665,108-45-2,2243-62-1,95-80-7,591-27-5,156-43-4,WZCQRUWWHSTZEM-UHFFFAOYSA-N,KQSABULTKYLFEV-UHFFFAOYSA-N,VOZKAJLKRJDJLL-UHFFFAOYSA-N,CWLKGDAVCFYWJK-UHFFFAOYSA-N,IMPPGHMHELILKG-UHFFFAOYSA-N,DTXSID4021137,DTXSID3020916,DTXSID4020402,DTXSID3024497,DTXSID0025864,0.81,0.65,1.7,1.34,1,1.15,1.09,0.88,0.73,0.6,1.079,2.18458,2,0,0,-1.0852,2,0,968.332701206894,-7.75833333333333
DTXSID2044769,NaN,2.8,[2.35:3.25],1,0.554,0.634,103-50-4,577-55-9,99-62-7,100-18-5,2104-64-5,MHDVGSVTJDSBDK-UHFFFAOYSA-N,OKIRBHVFJGXOIS-UHFFFAOYSA-N,UNEATYXSUBPPKP-UHFFFAOYSA-N,SPPWGCYEYAMHDT-UHFFFAOYSA-N,AIGRXSNSLVJMEA-UHFFFAOYSA-N,DTXSID5025819,DTXSID30860336,DTXSID8026640,DTXSID2026652,DTXSID7022174,2.43,2.14,3.28,3.24,2.97,2.26,3.24,3.21,3.24,2.75,5.756,3.42139,1,0,1,0.9965,2,0,1707.17806864634,-0.254340277777778
DTXSID3034610,NaN,0.41,[-0.2:1.02],0,0.228,0.469,3761-42-0,962-58-3,84-57-1,88-19-7,1623-19-4,ZDHYERRNXRANLI-UHFFFAOYSA-N,VBLJFQYCTRKKKF-UHFFFAOYSA-N,KCEIVWKDBLAQKL-UHFFFAOYSA-N,YCMLQMDWSXFTIF-UHFFFAOYSA-N,XHGIFBQQEGRTPB-UHFFFAOYSA-N,DTXSID6041975,DTXSID5037523,DTXSID8058906,DTXSID7021362,DTXSID5061827,0.51,-0.35,1.51,0.41,0.08,0.17,0.69,0.67,0.39,0.35,2.369,2.24877,8,0,0,-0.0584000000000001,5,0,1539.51189299511,-33.6641295976133
DTXSID5034270,NaN,0.61,[0.26:1.05],1,0.276,0.557,10541-83-0,76-93-7,92-70-6,84-57-1,86-87-3,ZVIDMSBTYRSMAR-UHFFFAOYSA-N,UKXSKSHDVLQNKG-UHFFFAOYSA-N,ALKYHXVLJMQRLQ-UHFFFAOYSA-N,KCEIVWKDBLAQKL-UHFFFAOYSA-N,PRPINYUDVPFIRX-UHFFFAOYSA-N,DTXSID8065117,DTXSID0058805,DTXSID3026560,DTXSID8058906,DTXSID8020915,0.38,0.26,0.6,1.51,0.47,0.64,0.64,0.55,0.67,0.56,1.926,1.06731,6,0,0,-0.116600000000001,3,1,1769.07723919827,-9.07944769093417
DTXSID70893643,NaN,1.57,[0.82:2.32],1,0.521,0.544,135-88-6,544-01-4,1490-04-6|2216-51-5,3766-81-2,134-62-3,KEQFTVQCIQJIQW-UHFFFAOYSA-N,AQZGPSLYZOOYQP-UHFFFAOYSA-N,NOOLISFMXDJSKH-UHFFFAOYSA-N,DIRFUJHNVNOBMY-UHFFFAOYSA-N,MMOXZBCLCQITDF-UHFFFAOYSA-N,DTXSID4021131,DTXSID8052198,DTXSID8029650|DTXSID1022180,DTXSID4058077,DTXSID2021995,2.37,2.23,1.04,1.41,0.38,2.16,2.04,2.15,1.46,1.07,4.26,3.38829,2,0,0,1.0537,0,0,1775.89124399431,-1.81616512345679
DTXSID7040732,NaN,0.8,[0.37:1.23],1,0.427,0.582,104-88-1,109-09-1,108-90-7,95-51-2,108-42-9,AVPYQKSLYISFPO-UHFFFAOYSA-N,OKDGRDCXVWSXDC-UHFFFAOYSA-N,MVPPADPHJFYWMZ-UHFFFAOYSA-N,AKCRQHGQIJBRMN-UHFFFAOYSA-N,PNPCRKVUWYDDST-UHFFFAOYSA-N,DTXSID2021860,DTXSID8024810,DTXSID4020298,DTXSID2021810,DTXSID0024761,0.32,1.28,1.25,0.95,0.35,0.96,0.9,2.18,0.78,0.99,4.151,2.04549,2,0.867538107835727,0,0.1095,2,0,623.217807607195,2.87073780129336
DTXSID0026701,NaN,0.73,[0.53:0.93],1,0.492,0.718,127-68-4,88-44-8,84-87-7,946-30-5,81-16-3,ONMOULMPIIOVTQ-UHFFFAOYSA-N,LTPSRQRIPCVMKQ-UHFFFAOYSA-N,HGWQOFDAUWCQDA-UHFFFAOYSA-N,GNTARUIZNIWBCN-UHFFFAOYSA-N,GWIAAIUASRVOIA-UHFFFAOYSA-N,DTXSID2027048,DTXSID7026526,DTXSID2058910,DTXSID4061339,DTXSID7020922,0.7,0.6,1.11,0.48,0.78,0.72,0.75,0.66,0.78,0.74,1.549,1.47521,3,0,0,0.1005,2,1,977.057716295955,-26.4498186051549
DTXSID5059292,NaN,0.43,[0.2:0.72],1,0.46,0.632,10315-98-7,60-51-5,2814-20-2,314-40-9,2122-19-2,QKVSMSABRNCNRS-UHFFFAOYSA-N,MCWXGJITAZMZEV-UHFFFAOYSA-N,JSAKSKHTLVSNQJ-UHFFFAOYSA-N,OSOBMCTWSONQHC-UHFFFAOYSA-N,NGZJXCFNBVJLQN-UHFFFAOYSA-N,DTXSID30145675,DTXSID7020479,DTXSID1027502,DTXSID4022020,DTXSID3052694,0.25,0.2,0.26,0.51,1,0.98,0.59,0.61,0.41,0.16,-0.441,-0.2046,3,0,0,0.4161,0,0,1501.4633441738,0.204545454545455
DTXSID5047166,NaN,0.98,[0.7:1.26],1,0.604,0.696,611-21-2,622-57-1,696-44-6,103-69-5,62-44-2,GUAWMXYQZKVRCW-UHFFFAOYSA-N,AASABFUMCBTXRL-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,CPJSUEIXXCENMM-UHFFFAOYSA-N,DTXSID4060600,DTXSID7060754,DTXSID2061014,DTXSID1025271,DTXSID1021116,0.95,0.61,0.86,1.11,1.48,0.81,1.15,0.93,0.97,0.6,2.415,2.45069,1,0,0,-0.2085,2,0,1398.66725163138,-0.814814814814814
DTXSID7032424,NaN,0.49,[0.28:0.7],1,0.373,0.648,10605-21-7,66-81-9,732-11-6,314-40-9,1912-24-9,TWFZGCMQGLPBSX-UHFFFAOYSA-N,YPHMISFOHDHNIV-UHFFFAOYSA-N,LMNZTLDVJIUSHT-UHFFFAOYSA-N,OSOBMCTWSONQHC-UHFFFAOYSA-N,MXWJVTOOROXGIU-UHFFFAOYSA-N,DTXSID4024729,DTXSID6024882,DTXSID5024261,DTXSID4022020,DTXSID9020112,0.4,0.45,0.26,0.51,0.9,0.34,0.34,1.11,0.41,0.99,0.209,2.02749,5,0,0,-0.8173,3,0,1643.59533446922,-8.64116315210672
DTXSID1044770,NaN,0.79,[0.31:1.27],1,0.589,0.624,62-44-2,579-10-2,583-39-1,156-43-4,696-44-6,CPJSUEIXXCENMM-UHFFFAOYSA-N,LMTGCJANOQOGPI-UHFFFAOYSA-N,YHMYGUUIMTVXNW-UHFFFAOYSA-N,IMPPGHMHELILKG-UHFFFAOYSA-N,FBGJJTQNZVNEQU-UHFFFAOYSA-N,DTXSID1021116,DTXSID8060373,DTXSID9025536,DTXSID0025864,DTXSID2061014,1.48,0.18,0.41,1,0.86,0.6,1.01,0.74,0.6,0.93,2.072,1.65269,2,0,0,-0.1214,2,0,1242.11404859059,-2.36
DTXSID4041731,NaN,0.83,[0.45:1.21],1,0.366,0.605,81-16-3,130-13-2,84-57-1,88-44-8,87-02-5,GWIAAIUASRVOIA-UHFFFAOYSA-N,NRZRRZAVMCAKEP-UHFFFAOYSA-N,KCEIVWKDBLAQKL-UHFFFAOYSA-N,LTPSRQRIPCVMKQ-UHFFFAOYSA-N,KYARBIJYVGJZLB-UHFFFAOYSA-N,DTXSID7020922,DTXSID0059611,DTXSID8058906,DTXSID7026526,DTXSID7026520,0.78,0.78,1.51,0.6,0.38,0.74,0.75,0.67,0.75,0.61,2.867,3.34248,6,0,0,-1.2914,4,1,1417.71964450985,-31.5266545686633
DTXSID0049028,NaN,0.8,[0.41:1.19],1,0.424,0.597,873-63-2,1746-81-2,15258-73-8,1805-32-9,108-42-9,ZSRDNPVYGSFUMD-UHFFFAOYSA-N,LKJPSUCKSLORMF-UHFFFAOYSA-N,WKKHCCZLKYKUDN-UHFFFAOYSA-N,FVJIUQSKXOYFKG-UHFFFAOYSA-N,PNPCRKVUWYDDST-UHFFFAOYSA-N,DTXSID70236273,DTXSID0037576,DTXSID30165075,DTXSID70170966,DTXSID0024761,1.29,1.15,0.47,0.54,0.35,0.62,1.72,0.93,0.9,0.99,1.067,1.57279,2,0.856689888689815,0,-0.3576,2,0,1221.44537456216,-9.77310528120713
DTXSID9065075,NaN,0.34,[-0.17:0.85],1,0.624,0.636,2122-19-2,123-91-1,68-12-2,96-45-7,60-29-7,NGZJXCFNBVJLQN-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,ZMXDDKWLCZADIW-UHFFFAOYSA-N,PDQAZBWRQCGBEV-UHFFFAOYSA-N,RTZKZFJDLAIYFH-UHFFFAOYSA-N,DTXSID3052694,DTXSID4020533,DTXSID6020515,DTXSID5020601,DTXSID3021720,1,-0.3,-0.1,0.26,0.73,0.16,0.35,0.26,0.34,0.62,0.492,0.72279,2,0,0,-0.0477999999999994,0,0,755.189567335866,-0.0555555555555555
DTXSID5026702,NaN,0.81,[0.51:1.11],1,0.501,0.671,1477-55-0,479-27-6,108-45-2,591-27-5,126-33-0,FDLQZKYLHJJBHD-UHFFFAOYSA-N,YFOOEYJGMMJJLS-UHFFFAOYSA-N,WZCQRUWWHSTZEM-UHFFFAOYSA-N,CWLKGDAVCFYWJK-UHFFFAOYSA-N,HXJUTPCZVOIRIF-UHFFFAOYSA-N,DTXSID9029649,DTXSID6044432,DTXSID4021137,DTXSID3024497,DTXSID3027037,0.43,0.8,0.81,1.34,0.85,0.73,0.38,1.15,0.73,0.81,0.49,0.92959,2,0,0,-1.1824,2,0,1341.74397971631,-9.2579365079365
DTXSID5033836,2.58,2.58,[2.55:2.61],1,1,0.941,104-40-5,4821-19-6,112-40-3,294-62-2,5510-99-6,IGFHQQFPSIBGKE-UHFFFAOYSA-N,AUEZNTKYSSUTGZ-UHFFFAOYSA-N,SNRUBQQJIBEYMU-UHFFFAOYSA-N,DDTBPAQBQHZRDW-UHFFFAOYSA-N,FHTGJZOULSYEOB-UHFFFAOYSA-N,DTXSID5033836,DTXSID60197465,DTXSID0026913,DTXSID9021552,DTXSID0044440,2.58,3.02,2.38,3.91,2.39,2.76,2.63,3.37,2.69,2.33,6.919,5.05589000000001,0,0,1,-2.3626,2,0,2089.13333000038,-1.17222222222222
DTXSID4020086,NaN,1.3,[1.11:1.58],1,0.589,0.76,612-22-6,98-54-4,95-47-6,106-42-3,108-38-3,PXWYZLWEKCMTEZ-UHFFFAOYSA-N,QHPQWRBYOIRBIT-UHFFFAOYSA-N,CTQNGGLPUBDAKN-UHFFFAOYSA-N,URLKBWYHVLBVBO-UHFFFAOYSA-N,IVSZLXZYQVIEFR-UHFFFAOYSA-N,DTXSID4073209,DTXSID1020221,DTXSID3021807,DTXSID2021868,DTXSID6026298,1.11,1.83,1.15,1.17,1.17,1.32,1.7,1.15,1.17,1.17,3.979,3.04638,0,0,0,0.8555,2,0,1233.09319478519,-0.419082125603865
DTXSID1047609,NaN,1.02,[0.42:1.62],1,0.574,0.604,579-10-2,142-96-1,2212-67-1,504-03-0,100-61-8,LMTGCJANOQOGPI-UHFFFAOYSA-N,DURPTKYDGMDSBL-UHFFFAOYSA-N,DEDOPGXGGQYYMW-UHFFFAOYSA-N,SDGKUVSVPIIUCF-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,DTXSID8060373,DTXSID1022007,DTXSID6024206,DTXSID8048527,DTXSID9021841,0.18,1.86,1.41,0.7,1,1.01,1.47,0.87,0.91,1.1,2.175,2.11609,2,0,0,-1.2074,0,0,1170.91551592615,0.111111111111112
DTXSID6022472,NaN,2.74,[2.25:3.23],1,0.63,0.655,83-32-9,119-64-2,91-17-8,91-57-6,124-11-8,CWRYPZZKDGJXCA-UHFFFAOYSA-N,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,NNBZCPXTIHJBJL-UHFFFAOYSA-N,QIMMUPPBPVKWKM-UHFFFAOYSA-N,JRZJOMJEPLMPRA-UHFFFAOYSA-N,DTXSID3021774,DTXSID1026118,DTXSID1024912,DTXSID4020878,DTXSID2059562,2.88,2.53,3.25,1.87,3.17,2.48,2.27,2.64,2.36,2.63,6.092,3.0292,0,0,1,-0.4623,1,0,1313.24324506213,0.258101851851851
DTXSID7022253,NaN,2.7,[2.46:3.04],1,0.44,0.668,80-43-3,52918-63-5,36335-67-8,18854-01-8,4130-42-1,XMNIXWIUMCBBBL-UHFFFAOYSA-N,OWZREIFADZCYQD-UHFFFAOYSA-N,OEYOMNZEMCPTKN-UHFFFAOYSA-N,SDMSCIWHRZJSRN-UHFFFAOYSA-N,BVUXDWXKPROUDO-UHFFFAOYSA-N,DTXSID1025017,DTXSID8020381,DTXSID5058068,DTXSID0042080,DTXSID0029262,2.62,2.51,2.46,2.61,3.46,2.52,2.63,2.42,2.17,3.07,7.113,4.76578000000001,2,0,1,2.2824,3,0,2697.16429999196,-1.79361303344867
DTXSID9041491,NaN,0.92,[0.74:1.1],1,0.586,0.76,618-36-0,103-83-3,89-93-0,103-69-5,121-69-7,RQEUFEKYXDPUSK-UHFFFAOYSA-N,XXBDWLFCJWSEKW-UHFFFAOYSA-N,CJAAPVQEZPAQNI-UHFFFAOYSA-N,OJGMBLNIHDZDGS-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,DTXSID40862301,DTXSID8021854,DTXSID3059000,DTXSID1025271,DTXSID2020507,0.82,1.15,0.66,1.11,0.9,0.93,0.9,0.94,0.97,1.16,3.808,1.50939,1,0,0,0.0191,1,0,1070.2988941016,-4.37361111111111
DTXSID1024835,NaN,0.94,[0.74:1.14],1,0.612,0.738,103-69-5,121-69-7,103-83-3,91-22-5,108-88-3,OJGMBLNIHDZDGS-UHFFFAOYSA-N,JLTDJTHDQAWBAV-UHFFFAOYSA-N,XXBDWLFCJWSEKW-UHFFFAOYSA-N,SMWDFEZZVXVKRB-UHFFFAOYSA-N,YXFVVABEGXRONW-UHFFFAOYSA-N,DTXSID1025271,DTXSID2020507,DTXSID8021854,DTXSID1021798,DTXSID7021360,1.11,0.9,1.15,0.58,0.92,0.97,1.16,0.9,1.2,1.19,3.985,1.94988,1,0,0,0.1687,1,0,954.821662213181,-0.123456790123457
DTXSID0034229,NaN,1.03,[0.41:1.65],1,0.552,0.563,142-96-1,579-10-2,2212-67-1,1502-22-3,504-03-0,DURPTKYDGMDSBL-UHFFFAOYSA-N,LMTGCJANOQOGPI-UHFFFAOYSA-N,DEDOPGXGGQYYMW-UHFFFAOYSA-N,GVNVAWHJIKLAGL-UHFFFAOYSA-N,SDGKUVSVPIIUCF-UHFFFAOYSA-N,DTXSID1022007,DTXSID8060373,DTXSID6024206,DTXSID30870879,DTXSID8048527,1.86,0.18,1.41,0.7,0.7,1.47,1.01,0.87,1.99,0.91,2.744,2.50619,2,0,0,-1.4954,0,0,1322.54577785127,0.25
