MoleculeID,LogBCF_exp,LogBCF_pred,BCF_predRange,AD_BCF,AD_index_BCF,Conf_index_BCF,LogBCF_CAS_neighbor_1,LogBCF_CAS_neighbor_2,LogBCF_CAS_neighbor_3,LogBCF_CAS_neighbor_4,LogBCF_CAS_neighbor_5,LogBCF_InChiKey_neighbor_1,LogBCF_InChiKey_neighbor_2,LogBCF_InChiKey_neighbor_3,LogBCF_InChiKey_neighbor_4,LogBCF_InChiKey_neighbor_5,LogBCF_DTXSID_neighbor_1,LogBCF_DTXSID_neighbor_2,LogBCF_DTXSID_neighbor_3,LogBCF_DTXSID_neighbor_4,LogBCF_DTXSID_neighbor_5,LogBCF_Exp_neighbor_1,LogBCF_Exp_neighbor_2,LogBCF_Exp_neighbor_3,LogBCF_Exp_neighbor_4,LogBCF_Exp_neighbor_5,LogBCF_pred_neighbor_1,LogBCF_pred_neighbor_2,LogBCF_pred_neighbor_3,LogBCF_pred_neighbor_4,LogBCF_pred_neighbor_5,XLogP,CrippenLogP,nHBAcc,minsCl,LipinskiFailures,ALogP,naasC,nAcid,ATSC0v,ATSC1s
DTXSID3047348,NaN,1.62,[0.97:2.27],1,0.424,0.522,25311-71-1,66332-96-5,85-68-7,18854-01-8,92-77-3,HOQADATXFBOEGG-UHFFFAOYSA-N,PTCGDEVVHUXTMP-UHFFFAOYSA-N,IRIAEXORFWYRCZ-UHFFFAOYSA-N,SDMSCIWHRZJSRN-UHFFFAOYSA-N,JFGQHAHJWJBOPD-UHFFFAOYSA-N,DTXSID8032417,DTXSID8024109,DTXSID3020205,DTXSID0042080,DTXSID1052618,2.12,1.29,1.21,2.61,0.81,1.73,1.82,1.98,2.17,1.85,6.704,4.25819,3,-0.0737112720030857,1,-0.166000000000001,4,0,2348.68462296987,-10.0548583300749
DTXSID9020538,3.12,3.12,[3.07:3.17],1,1,0.834,74-31-7,13936-21-5,90-30-2,226-36-8,92-77-3,UTGQNNCQYDRXCH-UHFFFAOYSA-N,UMWZLYTVXQBTTE-UHFFFAOYSA-N,XQVWYOYUZDUNRW-UHFFFAOYSA-N,JNCSIWAONQTVCF-UHFFFAOYSA-N,JFGQHAHJWJBOPD-UHFFFAOYSA-N,DTXSID9020538,DTXSID1065681,DTXSID2025892,DTXSID3059761,DTXSID1052618,3.12,2.94,3.23,2.03,0.81,2.26,1.99,2.28,2.77,1.85,6.602,6.37398,2,0,1,-0.8408,4,0,1915.13234719968,-1.55744170096022
DTXSID30888434,NaN,2.01,[1.21:2.81],0,0.349,0.436,36734-19-7,35367-38-5,1912-24-9,19666-30-9,15972-60-8,ONUFESLQCSAYKA-UHFFFAOYSA-N,QQQYTWIFVNKMRW-UHFFFAOYSA-N,MXWJVTOOROXGIU-UHFFFAOYSA-N,CHNUNORXWHYHNE-UHFFFAOYSA-N,XCSGPAVHZFQHGE-UHFFFAOYSA-N,DTXSID3024154,DTXSID1024049,DTXSID9020112,DTXSID3024239,DTXSID1022265,2.53,2.2,0.9,3.08,1.12,0.94,2.4,0.99,2.73,2.16,4.86,4.29876,6,0.509882290597576,0,0.5515,5,0,1564.15312654944,-0.61870857383152
DTXSID9027651,NaN,NaN,NA,0,0,0,,,,,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.739,0.6361,0,0,0,0,0,0,180.101930751378,NaN
DTXSID70225440,NaN,1.78,[1.08:2.37],1,0.462,0.545,298-04-4,137-26-8,135-88-6,56-38-2,50512-35-1,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,KUAZQDVKQLNFPE-UHFFFAOYSA-N,KEQFTVQCIQJIQW-UHFFFAOYSA-N,LCCNCVORNKJIRZ-UHFFFAOYSA-N,UFHLMYOGRXOCSL-UHFFFAOYSA-N,DTXSID0022018,DTXSID5021332,DTXSID4021131,DTXSID7021100,DTXSID8058110,2.34,0.53,2.37,1.99,1.57,1.59,0.93,2.16,2.07,1.02,2.939,3.29157,2,0,0,2.5317,0,0,1988.49838659998,-1.19444444444444
DTXSID5042328,NaN,0.82,[0.26:1.42],1,0.487,0.559,732-11-6,2636-26-2,10605-21-7,134-62-3,50512-35-1,LMNZTLDVJIUSHT-UHFFFAOYSA-N,SCKHCCSZFPSHGR-UHFFFAOYSA-N,TWFZGCMQGLPBSX-UHFFFAOYSA-N,MMOXZBCLCQITDF-UHFFFAOYSA-N,UFHLMYOGRXOCSL-UHFFFAOYSA-N,DTXSID5024261,DTXSID0041806,DTXSID4024729,DTXSID2021995,DTXSID8058110,0.26,1.56,0.4,0.38,1.57,1.11,1.03,0.34,1.07,1.02,3.16,1.47578,4,0,0,0.2428,2,0,1532.92691570551,-4.56857638888889
DTXSID3052486,NaN,0.73,[0.28:1.18],0,0.178,0.472,78-51-3,3089-11-0,91-96-3,119-12-0,5124-25-4,WTLBZVNBAKMVDP-UHFFFAOYSA-N,BNCADMBVWNPPIZ-UHFFFAOYSA-N,CRRLDLPBQWRVGN-UHFFFAOYSA-N,CXJSOEPQXUCJSA-UHFFFAOYSA-N,BBFRYSKTTHYWQZ-UHFFFAOYSA-N,DTXSID5021758,DTXSID9027520,DTXSID5059034,DTXSID2042355,DTXSID8052148,0.76,0.54,0.2,0.67,1.61,1.16,0.65,1.36,2,1.54,3.658,4.84377,12,0,1,-2.9431,7,0,2593.06551447337,-14.8635222618576
DTXSID4027652,NaN,0.65,[0.43:0.86],1,0.416,0.677,1779-48-2,75-98-9,121-92-6,10541-83-0,127-20-8,MLCHBQKMVKNBOV-UHFFFAOYSA-N,IUGYQRQAERSCNH-UHFFFAOYSA-N,AFPHTEQTJZKQAQ-UHFFFAOYSA-N,ZVIDMSBTYRSMAR-UHFFFAOYSA-N,NDUPDOJHUQKPAG-UHFFFAOYSA-N,DTXSID0027436,DTXSID8026432,DTXSID0025737,DTXSID8065117,DTXSID5024001,0.78,0.36,0.85,0.38,0.86,0.59,0.67,0.6,0.64,0.42,0.212,0.41708,2,0,0,0.361,0,1,397.31100997753,-12.7544581618656
DTXSID90225503,NaN,1.21,[0.91:1.45],1,0.433,0.659,101-77-9,3766-81-2,1212-29-9,90-94-8,102-82-9,YBRVSVVVWCFQMG-UHFFFAOYSA-N,DIRFUJHNVNOBMY-UHFFFAOYSA-N,KAJICSGLHKRDLN-UHFFFAOYSA-N,VVBLNCFGVYUYGU-UHFFFAOYSA-N,IMFACGCPASFAPR-UHFFFAOYSA-N,DTXSID6022422,DTXSID4058077,DTXSID9020451,DTXSID2020894,DTXSID4026183,1.18,1.41,0.64,1.45,1.4,1.57,1.46,1.18,1.23,1.44,3.599,3.58308,2,0,0,-2.0373,3,0,2005.17004615329,-1.40131944444444
DTXSID50225504,NaN,1.09,[0.43:1.75],1,0.346,0.519,66-81-9,732-11-6,90-94-8,82-45-1,117-79-3,YPHMISFOHDHNIV-UHFFFAOYSA-N,LMNZTLDVJIUSHT-UHFFFAOYSA-N,VVBLNCFGVYUYGU-UHFFFAOYSA-N,KHUFHLFHOQVFGB-UHFFFAOYSA-N,XOGPDSATLSAZEK-UHFFFAOYSA-N,DTXSID6024882,DTXSID5024261,DTXSID2020894,DTXSID2052572,DTXSID6020068,0.45,0.26,1.45,1.98,1.51,0.34,1.11,1.23,1.55,1.92,1.901,1.52379,5,0,0,-1.638,4,0,2223.18681245782,-3.16809756353707
