MoleculeID,MolWeight,nbAtoms,nbHeavyAtoms,nbC,nbO,nbN,nbAromAtom,nbRing,nbHeteroRing,Sp3Sp2HybRatio,nbRotBd,nbHBdAcc,ndHBdDon,nbLipinskiFailures,TopoPolSurfAir,MolarRefract,CombDipolPolariz
DTXSID701004236,347.201790864001,51,24,17,0,6,0,2,1,0.529411764705882,4,5,0,0,71.87,102.9562,1.444
DTXSID4026266,261.0960852,33,18,9,6,3,0,1,1,0.666666666666667,6,9,3,0,121.62,58.2948,-0.59
DTXSID901004268,321.182769672001,45,24,18,0,6,6,3,1,0.222222222222222,3,5,0,1,46.57,70.929,1.783
DTXSID80890406,787.059180712001,78,52,31,10,7,22,6,1,0.129032258064516,10,17,5,1,287.14,101.5525,8.88
DTXSID00232945,371.154171976001,49,26,19,2,4,12,3,1,0.315789473684211,7,4,1,0,85.73,47.4068,1.826
DTXSID401004344,74.036779432,11,5,3,2,0,0,0,0,0.666666666666667,1,2,1,0,37.3,17.6672,0.508
DTXSID6029202,244.073558864,30,18,14,4,0,10,2,0,0.142857142857143,4,4,0,0,52.6,23.9768,1.733
DTXSID6032641,240.96973376,20,15,10,2,1,10,2,1,0,1,3,1,0,50.19,18.4505,1.715
DTXSID001004378,210.161979944,37,15,13,2,0,0,1,0,0.769230769230769,4,2,0,0,26.3,56.4181,0.591
DTXSID80232968,252.16264864,39,19,17,0,2,12,3,1,0.294117647058824,3,2,1,1,15.27,28.4447,1.399
DTXSID4021135,248.094963004,31,19,16,1,2,16,3,0,0,2,2,1,1,44.95,2.5646,1.464
DTXSID5023322,431.282429424001,69,32,29,2,1,6,5,0,0.666666666666667,2,3,1,1,40.54,104.7873,1.899
DTXSID10233382,172.14632988,32,12,10,2,0,0,0,0,0.9,6,2,1,0,37.3,44.4955,0.429
DTXSID60233397,286.0299798,30,20,15,4,0,12,3,1,0.0666666666666667,3,3,1,0,88.9,26.5399,2.216
DTXSID40868808,316.122831162001,43,22,18,3,0,12,2,0,0.277777777777778,5,3,0,1,53.18,34.2314,2.561
DTXSID50233407,358.228322896001,55,27,24,0,3,12,3,0,0.208333333333333,4,2,1,1,18.28,66.3896,1.815
DTXSID80233450,781.570282412,39,33,20,5,0,18,4,1,0.05,2,2,3,1,86.99,74.4739,2.891
DTXSID5044994,236.083729624,30,18,16,2,0,12,3,0,0.125,1,2,0,0,34.14,21.0425,1.999
DTXSID80233531,157.029441556,18,10,7,1,1,6,1,0,0.142857142857143,0,1,2,0,46.25,17.9044,1.174
DTXSID5041439,222.06807956,27,17,15,2,0,12,3,0,0.0666666666666667,0,2,0,0,34.14,16.1941,1.999
DTXSID601004857,297.230393852001,52,21,17,3,1,0,0,0,0.764705882352941,14,4,2,2,69.89,68.3158,1.081
DTXSID901004901,345.252392248001,61,22,19,0,1,0,0,0,0.947368421052632,11,1,0,2,74.13,104.2061,1.576
DTXSID0029054,256.072058542,35,14,9,2,0,0,0,0,1,6,2,0,0,99.16,69.5525,2.344
DTXSID5025021,330.183109312001,50,24,20,4,0,6,3,0,0.6,6,4,0,1,52.6,48.4952,1.613
DTXSID3020095,210.06807956,26,16,14,2,0,6,3,0,0.142857142857143,0,2,0,0,34.14,38.5724,1.893
DTXSID7021780,222.089208928,30,16,12,4,0,6,1,0,0.333333333333333,6,4,0,0,52.6,32.5644,1.391
DTXSID801004972,158.130679816,29,11,9,2,0,0,0,0,0.888888888888889,4,2,1,0,37.3,44.1852,0.39
DTXSID10868830,328.038147668,35,21,14,3,2,11,3,2,0.357142857142857,4,5,1,0,56.51,39.7671,2.06
DTXSID9022522,278.151809184001,42,20,16,4,0,6,1,0,0.5,8,4,0,0,52.6,50.5434,1.313
DTXSID3024100,280.094688232,36,20,14,6,0,6,1,0,0.357142857142857,9,6,0,0,78.9,43.4181,1.822
DTXSID70233747,284.271530392001,56,20,18,2,0,0,0,0,0.944444444444444,15,2,1,2,37.3,65.4273,0.469
DTXSID001005033,396.323959888001,72,28,24,4,0,0,1,0,0.916666666666667,16,4,0,2,52.6,102.6318,0.983
DTXSID2021781,278.151809184001,42,20,16,4,0,6,1,0,0.5,10,4,0,1,52.6,45.4516,1.391
DTXSID6025068,334.214409440001,54,24,20,4,0,6,1,0,0.6,14,4,0,2,52.6,57.098,1.391
DTXSID2052732,961.214671128,28,24,14,0,0,12,2,0,0.142857142857143,3,0,0,1,0,95.7218,2.451
DTXSID4048983,916.539551100002,144,64,47,17,0,0,7,7,0.978723404255319,13,17,4,2,208.75,214.8022,3.608
DTXSID70234032,224.117745782,35,14,9,4,0,0,0,0,1,8,4,2,0,76.57,47.9421,1.675
DTXSID3024075,184.100048384,26,14,12,0,2,12,3,3,0.166666666666667,0,0,0,0,7.76,9.4244,1.398
DTXSID4047335,469.255226608001,67,33,24,3,3,6,4,3,0.75,7,6,1,0,63.69,90.5074,2.015
DTXSID2072914,486.289896486001,77,34,29,4,0,12,3,1,0.586206896551724,4,2,1,1,65.57,93.0445,2.119
DTXSID1032513,126.07931294,19,9,6,1,2,5,1,1,0.5,1,3,1,0,38.05,21.1615,0.873
DTXSID501005319,214.099379688,30,16,14,2,0,12,2,0,0.142857142857143,2,0,2,0,40.46,14.4346,1.498
DTXSID3020380,330.219494820001,54,24,21,3,0,0,4,0,0.80952380952381,2,3,0,0,43.37,91.5783,1.391
DTXSID2040284,237.93551244,18,13,8,2,0,6,1,0,0.125,2,2,1,0,37.3,28.6153,1.252
DTXSID3026514,149.047678464,18,11,8,2,1,0,2,1,0.25,0,3,1,0,46.17,40.2634,1.046
DTXSID8026515,154.06299418,21,11,8,3,0,0,2,1,0.75,0,3,0,0,43.37,33.2032,2.196
