MoleculeID,LogKoc_exp,LogKoc_pred,Koc_predRange,AD_Koc,AD_index_Koc,Conf_index_Koc,Koc_CAS_neighbor_1,Koc_CAS_neighbor_2,Koc_CAS_neighbor_3,Koc_CAS_neighbor_4,Koc_CAS_neighbor_5,Koc_InChiKey_neighbor_1,Koc_InChiKey_neighbor_2,Koc_InChiKey_neighbor_3,Koc_InChiKey_neighbor_4,Koc_InChiKey_neighbor_5,Koc_DTXSID_neighbor_1,Koc_DTXSID_neighbor_2,Koc_DTXSID_neighbor_3,Koc_DTXSID_neighbor_4,Koc_DTXSID_neighbor_5,LogKoc_Exp_neighbor_1,LogKoc_Exp_neighbor_2,LogKoc_Exp_neighbor_3,LogKoc_Exp_neighbor_4,LogKoc_Exp_neighbor_5,LogKoc_pred_neighbor_1,LogKoc_pred_neighbor_2,LogKoc_pred_neighbor_3,LogKoc_pred_neighbor_4,LogKoc_pred_neighbor_5,CrippenLogP,nHBAcc,SpDiam_Dzi,VP_1,MPC3,TPC,VABC,SsssN,topoDiameter,AATS1m,MPC6,ATS1v
DTXSID9034818,NaN,2.83,[2.49:3.17],1,0.393,0.605,86-50-0,732-11-6,36734-19-7,27314-13-2,29232-93-7,CJJOSEISRRTUQB-UHFFFAOYSA-N,LMNZTLDVJIUSHT-UHFFFAOYSA-N,ONUFESLQCSAYKA-UHFFFAOYSA-N,LXZVTHMPPAYLTH-UHFFFAOYSA-N,QHOQHJPRIBSPCY-UHFFFAOYSA-N,DTXSID3020122|,DTXSID5024261|,DTXSID3024154|,DTXSID8024234|,DTXSID0024266|,2.28,2.91,2.85,3.28,3,2.58,2.65,2.74,2.47,2.58,2.26418,6,97.3164100286696,6.86710345577375,37,460,237.553567283972,1.46260202331962,10,193.022225614467,58,8599.7135650989
DTXSID1052032,NaN,1.78,[1.37:2.19],1,0.603,0.662,93-89-0,60-12-8,111-70-6,539-82-2,104-94-9,MTZQAGJQAFMTAQ-UHFFFAOYSA-N,WRMNZCZEMHIOCP-UHFFFAOYSA-N,BBMCTIGTTCKYKF-UHFFFAOYSA-N,ICMAFTSLXCXHRK-UHFFFAOYSA-N,BHAAPTBBJKJZER-UHFFFAOYSA-N,DTXSID3038696|,DTXSID9026342|,DTXSID8021937|,DTXSID6040161|,DTXSID7024532|,2.3,1.5,1.14,1.97,1.93,1.68,1.61,1.51,1.51,1.8,1.8755,1,35.4193765039345,3.46116041817491,12,90,141.844712230961,0,7,76.5330000909091,8,5370.4336145925
DTXSID10865783,NaN,1.61,[1.3:1.92],0,0.282,0.574,126535-15-7,86209-51-0,144740-54-5,97780-06-8,122931-48-0,IMEVJVISCHQJRM-UHFFFAOYSA-N,ZTYVMAQSHCZXLF-UHFFFAOYSA-N,DTVOKYWXACGVGO-UHFFFAOYSA-N,ZINJLDJMHCUBIP-UHFFFAOYSA-N,MEFOUWRMVYJCQC-UHFFFAOYSA-N,DTXSID2032502|,DTXSID8032463|,DTXSID9058311|,DTXSID9034573|,DTXSID1032642|,1.84,1.08,1.46,1.93,1.71,1.53,1.93,1.83,1.84,1.83,4.06577,12,232.549773716749,9.48058929766318,63,886,397.780643276763,0,16,110.372911092593,100,14832.4344573293
DTXSID5035084,NaN,2.06,[1.62:2.5],1,0.556,0.606,2655-14-3,2686-99-9,33244-86-9,86-86-2,94-08-6,CVQODEWAPZVVBU-UHFFFAOYSA-N,AUQAUAIUNJIIEP-UHFFFAOYSA-N,IZBRKPDCFBAIKG-UHFFFAOYSA-N,XFNJVKMNNVCYEK-UHFFFAOYSA-N,NWPWRAWAUYIELB-UHFFFAOYSA-N,DTXSID7058042|,DTXSID1040322|,DTXSID20186895|,DTXSID3020914|,DTXSID5048211|,1.71,2.6,1.54,2,2.59,2.19,1.66,1.94,2.32,1.85,1.5544,2,45.6132630479538,4.81415758647037,19,132,186.740299659789,0,6,64.910961125,19,7069.91437756521
DTXSID6052033,NaN,4.31,[3.5:5.12],0,0.048,0.319,64532-97-4,117-84-0,69409-94-5,131-20-4,103-23-1,LMCLPMXCYFSRNG-UHFFFAOYSA-N,MQIUGAXCHLFZKX-UHFFFAOYSA-N,INISTDXBRIBGOC-UHFFFAOYSA-N,IJFPVINAQGWBRJ-UHFFFAOYSA-N,SAOKZLXYCUGLFA-UHFFFAOYSA-N,DTXSID4025797|,DTXSID1021956|,DTXSID7024110|DTXSID7037555,DTXSID50873226|,DTXSID0020606|,4.06,4.38,5.71,3.21,4.19,5.06,4.06,5.05,4.39,4.12,12.09589,6,1064.35681023389,21.2366754152101,46,481,773.98640519352,0,44,61.1444939538461,43,27946.9445254279
DTXSID50890832,NaN,3.63,[2.83:4.43],0,0.349,0.421,32357-46-3,84-75-3,103-23-1,53404-31-2,69806-50-4,IRLJKGHTPKJLFX-UHFFFAOYSA-N,KCXZNSGUUQJJTR-UHFFFAOYSA-N,SAOKZLXYCUGLFA-UHFFFAOYSA-N,NCMJQZVNCFTQPG-UHFFFAOYSA-N,VAIZTNZGPYBOGF-UHFFFAOYSA-N,DTXSID5041354|,DTXSID6025068|,DTXSID0020606|,DTXSID0041858|,DTXSID3034612|DTXSID0034855,2.7,4.72,4.19,3,3.62,3.65,3.63,4.12,3.47,4.17,5.53719000000001,3,223.666259822006,9.06308658543662,19,183,343.618403367285,0,18,62.0156607142858,16,12173.0480538146
DTXSID1044562,NaN,1.61,[1.28:1.94],0,0.255,0.525,86209-51-0,90982-32-4,122931-48-0,72178-02-0,144740-54-5,ZTYVMAQSHCZXLF-UHFFFAOYSA-N,NSWAMPCUPHPTTC-UHFFFAOYSA-N,MEFOUWRMVYJCQC-UHFFFAOYSA-N,BGZZWXTVIYUUEY-UHFFFAOYSA-N,DTVOKYWXACGVGO-UHFFFAOYSA-N,DTXSID8032463|,DTXSID0023955|,DTXSID1032642|,DTXSID7024112|,DTXSID9058311|,1.08,2.04,1.71,1.78,1.46,1.93,1.9,1.83,3.02,1.83,6.00766,9,143.475445663568,8.21097613613048,57,1032,323.334623948696,0,13,171.319839023256,113,13208.3427885362
DTXSID3021225,NaN,2,[1.08:3.04],1,0.235,0.315,86209-51-0,77501-63-4,144740-54-5,72178-02-0,122931-48-0,ZTYVMAQSHCZXLF-UHFFFAOYSA-N,CONWAEURSVPLRM-UHFFFAOYSA-N,DTVOKYWXACGVGO-UHFFFAOYSA-N,BGZZWXTVIYUUEY-UHFFFAOYSA-N,MEFOUWRMVYJCQC-UHFFFAOYSA-N,DTXSID8032463|,DTXSID7024160|,DTXSID9058311|,DTXSID7024112|,DTXSID1032642|,1.08,4,1.46,1.78,1.71,1.93,4.89,1.83,3.02,1.83,5.43056,8,180.297763517435,9.42230100153567,68,1184,352.992426141596,0,13,165.164974125,133,15175.1944154611
DTXSID3024944,NaN,2.53,[2:3],1,0.485,0.586,2593-15-9,1929-82-4,31557-34-3,1702-17-6,1918-13-4,KQTVWCSONPJJPE-UHFFFAOYSA-N,DCUJJWWUNKIJPH-UHFFFAOYSA-N,RLIVUWLXZBDMBL-UHFFFAOYSA-N,HUBANNPOLNYSAD-UHFFFAOYSA-N,KGKGSIUWJCAFPX-UHFFFAOYSA-N,DTXSID3032547|,DTXSID0024216|,DTXSID90185456|,DTXSID9029221|,DTXSID4041783|,3,2.62,2.96,1.56,2.26,2.32,3.1,2.67,1.57,2.19,2.40857,2,35.2644747302198,4.62858442300057,11,55,162.347290024267,0,6,203.326211666667,2,4539.63913696788
DTXSID4044660,NaN,2.02,[1.73:2.31],1,0.482,0.668,111-44-4,108-60-1,100-02-7,98-95-3,106-41-2,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,QCFYJCYNJLBDRT-UHFFFAOYSA-N,BTJIUGUIPKRLHP-UHFFFAOYSA-N,LQNUZADURLCDLV-UHFFFAOYSA-N,GZFGOTFRPZRKDS-UHFFFAOYSA-N,DTXSID9020168|,DTXSID4020167|,DTXSID0021834|,DTXSID3020964|,DTXSID3051543|,1.88,1.67,2.37,1.94,2.41,1.79,1.86,1.73,1.93,2.72,1.5792,0,28.2268809159176,4.62941740366991,4,28,133.267469377067,0,6,124.394284125,1,4048.27503028086
