MoleculeID,LogHL_exp,LogHL_pred,HL_predRange,AD_HL,AD_index_HL,Conf_index_HL,HL_CAS_neighbor_1,HL_CAS_neighbor_2,HL_CAS_neighbor_3,HL_CAS_neighbor_4,HL_CAS_neighbor_5,HL_InChiKey_neighbor_1,HL_InChiKey_neighbor_2,HL_InChiKey_neighbor_3,HL_InChiKey_neighbor_4,HL_InChiKey_neighbor_5,HL_DTXSID_neighbor_1,HL_DTXSID_neighbor_2,HL_DTXSID_neighbor_3,HL_DTXSID_neighbor_4,HL_DTXSID_neighbor_5,LogHL_Exp_neighbor_1,LogHL_Exp_neighbor_2,LogHL_Exp_neighbor_3,LogHL_Exp_neighbor_4,LogHL_Exp_neighbor_5,LogHL_pred_neighbor_1,LogHL_pred_neighbor_2,LogHL_pred_neighbor_3,LogHL_pred_neighbor_4,LogHL_pred_neighbor_5,nHBDon,MLFER_S,GATS1e,ndssC,ATS3m,nHBint6,nHBAcc2,AATSC0i,SpAD_Dzm
DTXSID5044994,NaN,-6.66,[-9.74:-4.38],1,0.494,0.258,2303-16-4,72-55-9,3424-82-6,135158-54-2,5836-29-3,SPANOECCGNXGNR-UHFFFAOYSA-N,UCNVFOCBFJOQAL-UHFFFAOYSA-N,ZDYJWDIWLRZXDB-UHFFFAOYSA-N,UELITFHSCLAHKR-UHFFFAOYSA-N,KWYXQHDOIXLVKE-UHFFFAOYSA-N,DTXSID2020391,DTXSID9020374,DTXSID4022313,DTXSID1032519,DTXSID8041799,-5.51,-4.38,-4.6,-6.92,-13.24,-6.05,-4.84,-4.7,-6.6,-8.94,0,1.999,0.453132999368878,2,5480.966953,0,2,1.36393776067665,97.3015428207543
DTXSID80233531,NaN,-9.61,[-10.4:-8.75],1,0.655,0.609,3428-24-8,609-20-1,123-31-9,108-46-3,105-08-8,ACCHWUWBKYGKNM-UHFFFAOYSA-N,HQCHAOKWWKLXQH-UHFFFAOYSA-N,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,GHMLBKRAJCXXBS-UHFFFAOYSA-N,YIMQCDZDWXUDCA-UHFFFAOYSA-N,DTXSID7022207,DTXSID7020427,DTXSID7020716,DTXSID2021238,DTXSID9026712,-8.12,-9.83,-10.4,-9.97,-10.18,-9.36,-8.91,-9.11,-9.31,-8.87,2,1.174,0.976558399427195,0,3770.536942,0,2,1.40245472589284,31.2606372438949
DTXSID5041439,NaN,-5.87,[-7.26:-4.48],1,0.501,0.562,2303-16-4,135158-54-2,72-55-9,3424-82-6,85-44-9,SPANOECCGNXGNR-UHFFFAOYSA-N,UELITFHSCLAHKR-UHFFFAOYSA-N,UCNVFOCBFJOQAL-UHFFFAOYSA-N,ZDYJWDIWLRZXDB-UHFFFAOYSA-N,LGRFSURHDFAFJT-UHFFFAOYSA-N,DTXSID2020391,DTXSID1032519,DTXSID9020374,DTXSID4022313,DTXSID2021159,-5.51,-6.92,-4.38,-4.6,-8.21,-6.05,-6.6,-4.84,-4.7,-7.45,0,1.999,0.448947426884809,2,5174.235239,0,2,1.35365451828715,83.4316956834053
DTXSID601004857,NaN,-9.5,[-12.28:-6.72],1,0.348,0.205,140923-17-7,149877-41-8,111-20-6,2027-47-6,57-11-4,NWUWYYSKZYIQAE-UHFFFAOYSA-N,VHLKTXFWDRXILV-UHFFFAOYSA-N,CXMXRPHRNRROMY-UHFFFAOYSA-N,ZQPPMHVWECSIRJ-UHFFFAOYSA-N,QIQXTHQIDYTFRH-UHFFFAOYSA-N,DTXSID0047662,DTXSID5032525,DTXSID7026867,DTXSID7048118,DTXSID8021642,-10.86,-8,-12.89,-4.35,-10.4,-9.38,-9.17,-12.28,-7.45,-3.67,2,1.081,0.865827266276315,2,3770.830627,0,4,1.24869287143584,262.178774066624
DTXSID901004901,NaN,-5.99,[-7.29:-4.69],1,0.363,0.453,120928-09-8,67306-00-7,99607-70-2,1929-73-3,33089-61-1,DMYHGDXADUDKCQ-UHFFFAOYSA-N,MGNFYQILYYYUBS-UHFFFAOYSA-N,COYBRKAVBMYYSF-UHFFFAOYSA-N,ZMWGIGHRZQTQRE-UHFFFAOYSA-N,QXAITBQSYVNQDR-UHFFFAOYSA-N,DTXSID4040476,DTXSID9058157,DTXSID3041794,DTXSID1032309,DTXSID5023871,-6.63,-3.98,-7.53,-6.8,-5.01,-6.54,-5.27,-8.03,-7.66,-7.2,0,1.576,1.10298413496382,1,5930.56582000001,0,1,1.39006434620939,222.246513844436
DTXSID0029054,NaN,-5.71,[-6.49:-4.93],1,0.656,0.627,298-04-4,13071-79-9,298-02-2,55-38-9,640-15-3,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,XLNZEKHULJKQBA-UHFFFAOYSA-N,BULVZWIRKLYCBC-UHFFFAOYSA-N,PNVJTZOFSHSLTO-UHFFFAOYSA-N,OPASCBHCTNRLRM-UHFFFAOYSA-N,DTXSID0022018,DTXSID2022254,DTXSID4032459,DTXSID8020620,DTXSID9042469,-5.66,-4.57,-5.21,-6.66,-6.55,-5.02,-5.37,-5.39,-5.41,-4.91,0,2.344,1.16674574302797,0,4712.49963972,0,2,1.51772915902493,70.7849060427054
DTXSID5025021,-7,-7,[-7:-6.9],1,1,0.815,84-61-7,85-68-7,26002-80-2,84-75-3,52645-53-1,VOWAEIGWURALJQ-UHFFFAOYSA-N,IRIAEXORFWYRCZ-UHFFFAOYSA-N,SBNFWQZLDJGRLK-UHFFFAOYSA-N,KCXZNSGUUQJJTR-UHFFFAOYSA-N,RLLPVAHGXHCWKJ-UHFFFAOYSA-N,DTXSID5025021,DTXSID3020205,DTXSID7032688,DTXSID6025068,DTXSID8022292,-7,-5.89,-5.18,-4.47,-5.73,-5.91,-7.83,-5.68,-5.92,-5.62,0,1.613,0.670095971796844,2,6426.28188200002,0,4,1.31502135367047,206.794378559629
DTXSID3020095,NaN,-5.69,[-6.79:-4.59],1,0.517,0.616,2303-16-4,135158-54-2,72-55-9,3424-82-6,133-07-3,SPANOECCGNXGNR-UHFFFAOYSA-N,UELITFHSCLAHKR-UHFFFAOYSA-N,UCNVFOCBFJOQAL-UHFFFAOYSA-N,ZDYJWDIWLRZXDB-UHFFFAOYSA-N,HKIOYBQGHSTUDB-UHFFFAOYSA-N,DTXSID2020391,DTXSID1032519,DTXSID9020374,DTXSID4022313,DTXSID0021385,-5.51,-6.92,-4.38,-4.6,-7.11,-6.05,-6.6,-4.84,-4.7,-6.74,0,1.893,0.447123131803278,2,4947.255477,0,2,1.36246604559444,79.481802728004
DTXSID7021780,-6.35,-6.35,[-6.46:-6.24],1,1,0.897,84-66-2,120-61-6,131-11-3,131-17-9,94-60-0,FLKPEMZONWLCSK-UHFFFAOYSA-N,WOZVHXUHUFLZGK-UHFFFAOYSA-N,NIQCNGHVCWTJSM-UHFFFAOYSA-N,QUDWYFHPNIMBFC-UHFFFAOYSA-N,LNGAGQAGYITKCW-UHFFFAOYSA-N,DTXSID7021780,DTXSID0020498,DTXSID3022455,DTXSID7020392,DTXSID3026566,-6.35,-3.89,-6.96,-6.55,-7.01,-6,-6.76,-5.28,-6.39,-5.99,0,1.391,0.717243972290889,2,3934.311486,0,4,1.31699349220953,91.0470169564088
DTXSID801004972,-5.27,-5.27,[-5.29:-5.27],1,1,0.995,36211-43-5,84682-03-1,26761-42-2,149-57-5,15602-15-0,OILUAKBAMVLXGF-UHFFFAOYSA-N,OILUAKBAMVLXGF-UHFFFAOYSA-N,WRPPDRMFGQJMAR-UHFFFAOYSA-N,OBETXYAYXDNJHR-UHFFFAOYSA-N,OBETXYAYXDNJHR-UHFFFAOYSA-N,DTXSID80957609,DTXSID801004972,DTXSID7067249,DTXSID9025293,DTXSID00890761,-5.27,-5.27,-5.27,-5.55,-5.54,-5.28,-5.28,-5.31,-5.54,-5.54,1,0.39,0.777758278658206,1,2087.278633,0,2,1.17207541770975,60.2786273378134
DTXSID10868830,NaN,-9.03,[-10.25:-7.81],1,0.572,0.513,12771-68-5,60168-88-9,79983-71-4,94361-06-5,76330-06-8,HUTDUHSNJYTCAR-UHFFFAOYSA-N,NHOWDZOIZKMVAI-UHFFFAOYSA-N,STMIIPIFODONDC-UHFFFAOYSA-N,UFNOUKDBUJZYDE-UHFFFAOYSA-N,CTFRWEPMHUGVMM-UHFFFAOYSA-N,DTXSID2034338,DTXSID2032390,DTXSID4034653,DTXSID0032601,DTXSID2072837,-10.81,-8.16,-8.48,-9.31,-7.44,-8.13,-8.77,-8.96,-8.51,-8.47,1,2.06,0.870225706458683,0,7118.26436,1,4,1.42021900082234,131.113823304486
