MoleculeID,BioDeg_exp,BioDeg_LogHalfLife_pred,BioDeg_predRange,AD_BioDeg,AD_index_BioDeg,Conf_index_BioDeg,BioDeg_CAS_neighbor_1,BioDeg_CAS_neighbor_2,BioDeg_CAS_neighbor_3,BioDeg_CAS_neighbor_4,BioDeg_CAS_neighbor_5,BioDeg_InChiKey_neighbor_1,BioDeg_InChiKey_neighbor_2,BioDeg_InChiKey_neighbor_3,BioDeg_InChiKey_neighbor_4,BioDeg_InChiKey_neighbor_5,BioDeg_DTXSID_neighbor_1,BioDeg_DTXSID_neighbor_2,BioDeg_DTXSID_neighbor_3,BioDeg_DTXSID_neighbor_4,BioDeg_DTXSID_neighbor_5,BioDeg_LogHalfLife_Exp_neighbor_1,BioDeg_LogHalfLife_Exp_neighbor_2,BioDeg_LogHalfLife_Exp_neighbor_3,BioDeg_LogHalfLife_Exp_neighbor_4,BioDeg_LogHalfLife_Exp_neighbor_5,BioDeg_LogHalfLife_pred_neighbor_1,BioDeg_LogHalfLife_pred_neighbor_2,BioDeg_LogHalfLife_pred_neighbor_3,BioDeg_LogHalfLife_pred_neighbor_4,BioDeg_LogHalfLife_pred_neighbor_5,BCUTp_1l,IC2,nF6Ring,nT6Ring,ATSC1p,VP_6
DTXSID3025041,NaN,0.66,[0.49:0.83],0,0.231,0.606,109-66-0|,591-76-4|,592-27-8|,110-54-3|,3221-61-2|,OFBQJSOFQDEBGM-UHFFFAOYSA-N,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,DTXSID2025846|,DTXSID5052256|,DTXSID2060460|,DTXSID0021917|,DTXSID30863125|,0.7,0.48,0.48,0.95,0.7,0.92,0.84,0.61,0.78,0.56,3.64262032160896,2.53049305675748,0,0,-1.71148821112623,0.0416666666666667
DTXSID8025591,NaN,0.62,[0.48:0.81],0,0.354,0.642,591-76-4|,592-27-8|,589-81-1|,3221-61-2|,589-34-4|,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,VLJXXKKOSFGPHI-UHFFFAOYSA-N,DTXSID5052256|,DTXSID2060460|,DTXSID90862250|,DTXSID30863125|,DTXSID3044334|,0.48,0.48,0.48,0.7,0.95,0.84,0.61,0.65,0.56,0.74,3.99719489965682,3.02303706553288,0,0,-0.894466127971608,0.0223606797749979
DTXSID4020240,NaN,0.66,[0.48:0.9],1,0.402,0.63,103-65-1|,21964-49-8|,1074-17-5|,622-96-8|,620-14-4|,ODLMAHJVESYWTB-UHFFFAOYSA-N,XMRSTLBCBDIKFI-UHFFFAOYSA-N,YQZBFMJOASEONC-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,ZLCSFXXPPANWQY-UHFFFAOYSA-N,DTXSID3042219|,DTXSID80176373|,DTXSID4061466|,DTXSID9029194|,DTXSID6050386|,0.6,1.11,0.48,0.6,0.48,0.61,0.59,0.57,0.62,0.58,4.29749730196675,3.22109725005796,0,0,-0.176568629999996,0.370959126747458
DTXSID2065127,NaN,0.72,[0.48:0.96],1,0.54,0.665,21964-49-8|,592-27-8|,2213-23-2|,3221-61-2|,589-81-1|,XMRSTLBCBDIKFI-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,DTXSID80176373|,DTXSID2060460|,DTXSID10862873|,DTXSID30863125|,DTXSID90862250|,1.11,0.48,0.78,0.7,0.48,0.59,0.61,0.52,0.56,0.65,4.73251662457168,2.9398290174664,0,0,-0.34780314327586,0.278838767912603
DTXSID2033445,NaN,0.58,[0.48:0.71],0,0.317,0.651,2213-23-2|,592-27-8|,589-81-1|,591-76-4|,2216-34-4|,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,GXDHCNNESPLIKD-UHFFFAOYSA-N,DOGIHOCMZJUJNR-UHFFFAOYSA-N,DTXSID10862873|,DTXSID2060460|,DTXSID90862250|,DTXSID5052256|,DTXSID90862876|,0.78,0.48,0.48,0.48,0.7,0.52,0.61,0.65,0.84,0.5,4.74374805987659,3.26531953111478,0,0,-1.22549297534999,0.264862905935077
DTXSID3026722,NaN,0.62,[0.48:0.81],0,0.195,0.588,109-66-0|,591-76-4|,592-27-8|,110-54-3|,589-81-1|,OFBQJSOFQDEBGM-UHFFFAOYSA-N,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,DTXSID2025846|,DTXSID5052256|,DTXSID2060460|,DTXSID0021917|,DTXSID90862250|,0.7,0.48,0.48,0.95,0.48,0.92,0.84,0.61,0.78,0.65,3.7301875,2.55665670746282,0,0,-2.10673392521224,0.0553212175434089
DTXSID9051539,NaN,0.65,[0.48:0.9],0,0.368,0.601,21964-49-8|,591-76-4|,592-27-8|,589-81-1|,3221-61-2|,XMRSTLBCBDIKFI-UHFFFAOYSA-N,GXDHCNNESPLIKD-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,DTXSID80176373|,DTXSID5052256|,DTXSID2060460|,DTXSID90862250|,DTXSID30863125|,1.11,0.48,0.48,0.48,0.7,0.59,0.84,0.61,0.65,0.56,3.88968171715626,3.12808527889139,0,0,-0.463761919957137,0.118661188825563
DTXSID2021864,NaN,0.72,[0.6:0.84],0,0.485,0.727,103-65-1|,622-96-8|,934-80-5|,100-41-4|,141-93-5|,ODLMAHJVESYWTB-UHFFFAOYSA-N,JRLPEMVDPFPYPJ-UHFFFAOYSA-N,SBUYFICWQNHBCM-UHFFFAOYSA-N,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,AFZZYIJIWUTJFO-UHFFFAOYSA-N,DTXSID3042219|,DTXSID9029194|,DTXSID6061317|,DTXSID3020596|,DTXSID1022003|,0.6,0.6,0.7,0.9,0.85,0.61,0.62,0.55,0.63,0.66,4.98715197195498,3.07610317099672,0,1,0.372822583368427,0.159408285677201
DTXSID1059319,NaN,0.76,[0.55:0.97],1,0.353,0.622,21964-49-8|,2216-33-3|,1071-26-7|,3221-61-2|,592-27-8|,XMRSTLBCBDIKFI-UHFFFAOYSA-N,SEEOMASXHIJCDV-UHFFFAOYSA-N,PSABUFWDVWCFDP-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,JVSWJIKNEAIKJW-UHFFFAOYSA-N,DTXSID80176373|,DTXSID30862875|,DTXSID0061454|,DTXSID30863125|,DTXSID2060460|,1.11,0.7,0.78,0.7,0.48,0.59,0.56,0.64,0.56,0.61,4.17218423461914,2.46715547420927,0,0,-0.860239118647977,1.34404692568549
DTXSID7021865,NaN,0.58,[0.48:0.71],0,0.251,0.63,592-27-8|,591-76-4|,2213-23-2|,589-81-1|,3221-61-2|,JVSWJIKNEAIKJW-UHFFFAOYSA-N,GXDHCNNESPLIKD-UHFFFAOYSA-N,AUKVIBNBLXQNIZ-UHFFFAOYSA-N,LAIUFBWHERIJIH-UHFFFAOYSA-N,ZUBZATZOEPUUQF-UHFFFAOYSA-N,DTXSID2060460|,DTXSID5052256|,DTXSID10862873|,DTXSID90862250|,DTXSID30863125|,0.48,0.48,0.78,0.48,0.7,0.61,0.84,0.52,0.65,0.56,4.36060351562499,3.3502090290999,0,0,-1.56239544100276,0.263675821802589
