MoleculeID,ReadyBiodeg_exp,ReadyBiodeg_pred,AD_ReadyBiodeg,AD_index_ReadyBiodeg,Conf_index_ReadyBiodeg,ReadyBiodeg_CAS_neighbor_1,ReadyBiodeg_CAS_neighbor_2,ReadyBiodeg_CAS_neighbor_3,ReadyBiodeg_CAS_neighbor_4,ReadyBiodeg_CAS_neighbor_5,ReadyBiodeg_InChiKey_neighbor_1,ReadyBiodeg_InChiKey_neighbor_2,ReadyBiodeg_InChiKey_neighbor_3,ReadyBiodeg_InChiKey_neighbor_4,ReadyBiodeg_InChiKey_neighbor_5,ReadyBiodeg_DTXSID_neighbor_1,ReadyBiodeg_DTXSID_neighbor_2,ReadyBiodeg_DTXSID_neighbor_3,ReadyBiodeg_DTXSID_neighbor_4,ReadyBiodeg_DTXSID_neighbor_5,ReadyBiodeg_Exp_neighbor_1,ReadyBiodeg_Exp_neighbor_2,ReadyBiodeg_Exp_neighbor_3,ReadyBiodeg_Exp_neighbor_4,ReadyBiodeg_Exp_neighbor_5,ReadyBiodeg_pred_neighbor_1,ReadyBiodeg_pred_neighbor_2,ReadyBiodeg_pred_neighbor_3,ReadyBiodeg_pred_neighbor_4,ReadyBiodeg_pred_neighbor_5,GATS1m,MLFER_BO,BCUTp_1h,SpMax1_Bhs,GATS1p,MLFER_E,ATSC1e,ATS4m,hmax,ATSC2m
DTXSID20143261,NaN,0,1,0.545236320224254,0.618109662924653,85-45-0|,97-52-9|,96-96-8|,NOCAS_877178|,2042-14-0|,GVBUHJSIDPIOBZ-UHFFFAOYSA-N,GVBHRNIWBGTNQA-UHFFFAOYSA-N,QFMJFXFXQAFGBO-UHFFFAOYSA-N,YBYOSGVATNOPQS-UHFFFAOYSA-N,BQEXDUKMTVYBRK-UHFFFAOYSA-N,DTXSID1058921|,DTXSID0038700|,DTXSID3044750|,DTXSID00877178|,DTXSID90879085|,0,0,0,1,0,0,0,0,0,0,0.796324817256409,0.572,9.0950098354709,4.94192404030973,1.08265506521695,1.339,0.420728615384615,3164.49254,0.678903966679264,59.949194822485
DTXSID2021284,2,0,1,0.725902982626576,0.669238547951891,100-42-5|,105-06-6|,108-57-6|,98-83-9|,3454-07-7|,PPBRXRYQALVLMV-UHFFFAOYSA-N,WEERVPDNCOGWJF-UHFFFAOYSA-N,PRJNEUBECVAVAG-UHFFFAOYSA-N,XYLMUPLGERFSHI-UHFFFAOYSA-N,WHFHDVDXYKOSKI-UHFFFAOYSA-N,DTXSID2021284|,DTXSID2033863|,DTXSID30110020|,DTXSID9025661|,DTXSID70188081|,1,0,0,0,0,0,0,0,0,1,0.9375,0.16,8.31983006456324,3.76665388394831,0.9375,0.791,1.09634523681734e-15,620.495067,0.45,-121.066009
DTXSID9029302,NaN,1,1,0.56447720631424,0.627730105969647,104-76-7|,3452-97-9|,112-53-8|,112-70-9|,112-42-5|,YIWUKEYIRIRTPP-UHFFFAOYSA-N,BODRLKRKPXBDBN-UHFFFAOYSA-N,LQZZUXJYWNFBMV-UHFFFAOYSA-N,XFRVVPUIAFSTFO-UHFFFAOYSA-N,KJIOQYGWTQBHNH-UHFFFAOYSA-N,DTXSID5020605|,DTXSID7029661|,DTXSID5026918|,DTXSID2021947|,DTXSID0026915|,1,0,1,1,1,1,1,1,1,1,1.44685799705349,0.395,8.74178753598469,4.44010551553632,1.57601708877108,0.19,-0.0772421744719909,1907.920153,0.542300170068027,-332.993939326907
DTXSID0051499,1,0,1,0.702836187111773,0.615350116056097,100-43-6|,100-69-6|,96-09-3|,108-99-6|,100-66-3|,KFDVPJUYSDEJTH-UHFFFAOYSA-N,KGIGUEBEKRSTEW-UHFFFAOYSA-N,AWMVMTVKBNGEAK-UHFFFAOYSA-N,ITQTTZVARXURQS-UHFFFAOYSA-N,RDOXTESZEPMUJZ-UHFFFAOYSA-N,DTXSID0051499|,DTXSID1026667|,DTXSID2021286|,DTXSID9021897|,DTXSID4041608|,0,0,1,0,1,1,1,0,1,1,0.838311702960609,0.448,8.21500465778035,3.78289609549381,1.01815825335254,0.769,0.0188160000000008,630.329807,0.575,-103.024669222222
DTXSID0020153,2,0,1,0.757754267682842,0.724368636653947,100-44-7|,622-24-2|,1592-20-7|,108-90-7|,1073-67-2|,KCXMKQUNVWSEMD-UHFFFAOYSA-N,MNNZINNZIQVULG-UHFFFAOYSA-N,ZRZHXNCATOYMJH-UHFFFAOYSA-N,MVPPADPHJFYWMZ-UHFFFAOYSA-N,KTZVZZJJVJQZHV-UHFFFAOYSA-N,DTXSID0020153|,DTXSID3060748|,DTXSID2061808|,DTXSID4020298|,DTXSID4061464|,1,0,0,0,0,0,0,0,0,0,0.540764470584514,0.124,8.47888029369203,3.81911287263447,0.761352001835865,0.791,2.08166817117217e-16,1208.617701,0.432369684499314,-466.17457724
DTXSID5021839,2,1,1,0.704477386978209,0.63399285693725,100-46-9|,64-04-0|,95-53-4|,618-36-0|,100-61-8|,WGQKYBSKWIADBV-UHFFFAOYSA-N,BHHGXPLMPWCGHP-UHFFFAOYSA-N,RNVCVTLRINQCPJ-UHFFFAOYSA-N,RQEUFEKYXDPUSK-UHFFFAOYSA-N,AFBPFSWMIHJQDM-UHFFFAOYSA-N,DTXSID5021839|,DTXSID5058773|,DTXSID1026164|,DTXSID40862301|,DTXSID9021841|,1,1,1,0,0,0,0,0,0,0,1.03698200601281,0.61,8.07019031960677,3.84455153235312,0.91974842249099,0.853,-0.0885458823529392,698.713219,0.489027777777778,-144.048497782007
DTXSID7021491,2,1,1,0.655682630832205,0.673332818228629,100-47-0|,623-26-7|,140-29-4|,626-17-5|,100-52-7|,JFDZBHWFFUWGJE-UHFFFAOYSA-N,BHXFKXOIODIUJO-UHFFFAOYSA-N,SUSQOBVLVYHIEX-UHFFFAOYSA-N,LAQPNDIUHRHNCV-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N,DTXSID7021491|,DTXSID1060768|,DTXSID2021492|,DTXSID7027259|,DTXSID8039241|,1,0,1,0,1,0,0,1,0,1,0.715427672769765,0.249,7.71043941050065,4.27195004494703,0.836218163469923,0.808,1.87350135405495e-16,597.792259,0.617083333333333,-124.573003189349
DTXSID9041528,NaN,0,1,0.637695838667642,0.625134975972424,100-54-9|,100-52-7|,623-26-7|,100-47-0|,626-17-5|,GZPHSAQLYPIAIN-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N,BHXFKXOIODIUJO-UHFFFAOYSA-N,JFDZBHWFFUWGJE-UHFFFAOYSA-N,LAQPNDIUHRHNCV-UHFFFAOYSA-N,DTXSID1026665|,DTXSID8039241|,DTXSID1060768|,DTXSID7021491|,DTXSID7027259|,0,1,0,1,0,1,1,0,0,0,0.633930674806196,0.537,7.62414619987341,4.2688558514224,0.930563641306716,0.786,-0.0104533333333332,607.626999,0.630972222222222,-115.122891
DTXSID1026661,NaN,1,1,0.554266716825108,0.583420415051157,2935-90-2|,101-43-9|,1200-14-2|,2550-26-7|,5392-40-5|,LDTLDBDUBGAEDT-UHFFFAOYSA-N,OIWOHHBRDFKZNC-UHFFFAOYSA-N,ARIREUPIXAKDAY-UHFFFAOYSA-N,AKGGYBADQZYZPD-UHFFFAOYSA-N,WTEVQBCEXWBHNA-UHFFFAOYSA-N,DTXSID6027509|,DTXSID7051507|,DTXSID0061616|,DTXSID6033241|,DTXSID6024836|,1,1,0,0,1,1,1,1,1,1,0.962388531405621,0.459,8.05857457717881,4.87053069630532,1.21136128986222,0.5,5.759281940243e-16,779.872387,0.587083333333333,-238.549261592592
DTXSID5020152,2,1,1,0.701226518810474,0.850613259405237,100-51-6|,108-39-4|,106-44-5|,95-48-7|,60-12-8|,WVDDGKGOMKODPV-UHFFFAOYSA-N,RLSSMJSEOOYNOY-UHFFFAOYSA-N,IWDCLRJOBJJRNH-UHFFFAOYSA-N,QWVGKYWNOKOFNN-UHFFFAOYSA-N,WRMNZCZEMHIOCP-UHFFFAOYSA-N,DTXSID5020152|,DTXSID6024200|,DTXSID7021869|,DTXSID8021808|,DTXSID9026342|,1,1,1,1,1,1,1,1,1,1,0.939216004680639,0.564,7.7651490669496,4.00815708170224,0.948933073504203,0.829,-0.121444999999999,726.366739,0.692083333333333,-196.6413631875
