MoleculeID,LogD55_pred,LogD55_predRange,LogD74_pred,LogD74_predRange,AD_LogD,AD_index_LogD,Conf_index_LogD,LogD_CAS_neighbor_1,LogD_CAS_neighbor_2,LogD_CAS_neighbor_3,LogD_CAS_neighbor_4,LogD_CAS_neighbor_5,LogD_InChiKey_neighbor_1,LogD_InChiKey_neighbor_2,LogD_InChiKey_neighbor_3,LogD_InChiKey_neighbor_4,LogD_InChiKey_neighbor_5,LogD_DTXSID_neighbor_1,LogD_DTXSID_neighbor_2,LogD_DTXSID_neighbor_3,LogD_DTXSID_neighbor_4,LogD_DTXSID_neighbor_5
DTXSID4027577,-1.72,[-7.1:3.66],-3.5,[-10.78:3.78],1,0.677,0.7945,4767-03-7,10097-02-6,77-85-0,6290-03-5,2163-42-0,PTBDIHRZYDMNKB-UHFFFAOYSA-N,JVYDLYGCSIHCMR-UHFFFAOYSA-N,QXJQHYBHAIHNGG-UHFFFAOYSA-N,PUPZLCDOIYMWBV-UHFFFAOYSA-N,QWGRWMMWNDWRQN-UHFFFAOYSA-N,DTXSID4027577,DTXSID8064939,DTXSID2026444,DTXSID001016432,DTXSID3029231
DTXSID90889184,5.39,[4.57:6.21],5.39,[4.57:6.21],0,0.3175,0.2905,141773-73-1,22288-43-3,1068-27-5,24293-43-4,365411-50-3,LSTSBZKIQFOPHA-UHFFFAOYSA-N,RFLMOBVJXKBPQW-UHFFFAOYSA-N,ODBCKCWTWALFKM-UHFFFAOYSA-N,KYWZILPIDASSGE-UHFFFAOYSA-N,NJQDALIDWNJDSW-UHFFFAOYSA-N,DTXSID7051341,DTXSID30944943,DTXSID1044512,DTXSID10884898,DTXSID80889173
DTXSID6047284,-1.16,[-2.37:0.05],0.52,[-0.69:1.73],1,0.4945,0.5165,40837-34-1,364-62-5,40837-24-9,70458-96-7,85721-33-1,LGHPOKWNZLWPIU-UHFFFAOYSA-N,TTWJBBZEZQICBI-UHFFFAOYSA-N,QDBUFBIUCJXION-UHFFFAOYSA-N,OGJPXUAPXNRGGI-UHFFFAOYSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,DTXSID40878149,DTXSID6045169,DTXSID60878161,DTXSID7037680,DTXSID8022824
DTXSID5047372,2.89,[1.72:4.06],1.64,[-1.42:4.7],1,0.432,0.4055,10128-55-9,1391764-61-6,6245-59-6,1421927-53-8,81-39-0,SYRKOPHMPLPLPQ-UHFFFAOYSA-N,JVXNCZPSBBGDBW-UHFFFAOYSA-N,XZVZLEXTMDWIEK-UHFFFAOYSA-N,PNFQZDSXVPAXNN-UHFFFAOYSA-N,VJUKWPOWHJITTP-UHFFFAOYSA-N,DTXSID1064958,DTXSID701020579,DTXSID101023937,DTXSID101021050,DTXSID1058842
DTXSID90893241,-0.35,[-3.46:2.76],0.15,[-4.86:5.16],1,0.685,0.617,60-79-7,113-42-8,40837-34-1,88695-10-7,34084-50-9,WVVSZNPYNCNODU-UHFFFAOYSA-N,UNBRKDKAWYKMIV-UHFFFAOYSA-N,LGHPOKWNZLWPIU-UHFFFAOYSA-N,WFRYVCNPSKIGEM-UHFFFAOYSA-N,LTCDLGUFORGHGY-UHFFFAOYSA-N,DTXSID8046323,DTXSID00904978,DTXSID40878149,DTXSID00632365,DTXSID40187682
DTXSID6044432,-1.89,[-2.06:-1.72],0,[-0.17:0.17],1,1,0.835,479-27-6,2410-24-4,13575-92-3,35303-76-5,658-48-0,YFOOEYJGMMJJLS-UHFFFAOYSA-N,CMUHFUGDYMFHEI-UHFFFAOYSA-N,IIMSEFZOOYSTDO-UHFFFAOYSA-N,FXNSVEQMUYPYJS-UHFFFAOYSA-N,NHTGHBARYWONDQ-UHFFFAOYSA-N,DTXSID6044432,DTXSID90178828,DTXSID10423569,DTXSID20188814,DTXSID90859529
DTXSID7047770,2.4,[1.25:3.55],2.4,[1.25:3.55],0,0.3125,0.375,28317-71-7,NOCAS_879475,31208-76-1,28313-64-6,119-26-6,XRVYKBHSFXDXRH-UHFFFAOYSA-N,UZEYLKDTQABOAN-UHFFFAOYSA-N,MGXWPPPGZMFBAO-UHFFFAOYSA-N,VVDKIANILRQPKL-UHFFFAOYSA-N,HORQAOAYAYGIBM-UHFFFAOYSA-N,DTXSID70632357,DTXSID00879475,DTXSID30879029,DTXSID40876685,DTXSID2059485
DTXSID1022398,1.2,[-2.72:5.12],-0.43,[-6.25:5.39],0,0.668,0.7715,480-16-0,552-58-9,NOCAS_871986,491-70-3,154-23-4,JUVPWBCCVAWDJF-UHFFFAOYSA-N,SBHXYTNGIZCORC-UHFFFAOYSA-N,FNUPUYFWZXZMIE-UHFFFAOYSA-N,IQPNAANSBPBGFQ-UHFFFAOYSA-N,PFTAWBLQPZVEMU-UHFFFAOYSA-N,DTXSID1022398,DTXSID70877706,DTXSID70871986,DTXSID4074988,DTXSID3022322
DTXSID8022450,0.95,[-2.93:4.83],0.94,[-4.84:6.72],0,0.6325,0.7595,480-18-2,NOCAS_871986,480-16-0,154-23-4,552-58-9,CXQWRCVTCMQVQX-UHFFFAOYSA-N,FNUPUYFWZXZMIE-UHFFFAOYSA-N,JUVPWBCCVAWDJF-UHFFFAOYSA-N,PFTAWBLQPZVEMU-UHFFFAOYSA-N,SBHXYTNGIZCORC-UHFFFAOYSA-N,DTXSID8022450,DTXSID70871986,DTXSID1022398,DTXSID3022322,DTXSID70877706
DTXSID0068494,6.51,[6.5:6.67],6.51,[6.5:6.67],0,0.5,0.374,48076-38-6,1120-34-9,929-77-1,18299-85-9,4813-57-4,NGYRYRBDIPYKTL-UHFFFAOYSA-N,ZYNDJIBBPLNPOW-UHFFFAOYSA-N,QSQLTHHMFHEFIY-UHFFFAOYSA-N,KHAYCTOSKLIHEP-UHFFFAOYSA-N,FSAJWMJJORKPKS-UHFFFAOYSA-N,DTXSID0068494,DTXSID0051578,DTXSID6029206,DTXSID2066359,DTXSID9063613
