MoleculeID,Clint_exp,Clint_pred,Clint_predRange,AD_Clint,AD_index_Clint,Conf_index_Clint,Clint_CAS_neighbor_1,Clint_CAS_neighbor_2,Clint_CAS_neighbor_3,Clint_CAS_neighbor_4,Clint_CAS_neighbor_5,Clint_InChiKey_neighbor_1,Clint_InChiKey_neighbor_2,Clint_InChiKey_neighbor_3,Clint_InChiKey_neighbor_4,Clint_InChiKey_neighbor_5,Clint_DTXSID_neighbor_1,Clint_DTXSID_neighbor_2,Clint_DTXSID_neighbor_3,Clint_DTXSID_neighbor_4,Clint_DTXSID_neighbor_5,Clint_Exp_neighbor_1,Clint_Exp_neighbor_2,Clint_Exp_neighbor_3,Clint_Exp_neighbor_4,Clint_Exp_neighbor_5,Clint_pred_neighbor_1,Clint_pred_neighbor_2,Clint_pred_neighbor_3,Clint_pred_neighbor_4,Clint_pred_neighbor_5,maxHBint2,minHBint2,SHBd,nN,BCUTp_1h,minHBa,MLFER_A,ndO,nBase,GATS5e,SRW4,MDEO_12,AATS1i,MLFER_BO,SpMax4_Bhm,maxHBint9,ETA_dBetaP,ATSC0p,ATS3p,XLogP,maxHssNH,minHBint10,khs_ssNH,nssNH,mindssS,nTG12Ring,ATS4i,SRW6,MPC5,khs_ddsN,SdCH2,nF6Ring,nHBint7
DTXSID8021199,159,158.08,[150.78:159],1,1,0.845,1114-71-2,1929-77-7,759-94-4,2212-67-1,2008-41-5,SGEJQUSYQTVSIU-UHFFFAOYSA-N,OKUGPJPKMAEJOE-UHFFFAOYSA-N,GUVLYNGULCJVDO-UHFFFAOYSA-N,DEDOPGXGGQYYMW-UHFFFAOYSA-N,BMTAFVWTTFSTOG-UHFFFAOYSA-N,DTXSID8021199,DTXSID7024376,DTXSID1024091,DTXSID6024206,DTXSID7023936,159,25.1,80.36,11.6,52.51,32.75,62.79,39.41,58.55,41,0,0,0,1,9.96700585994592,-1.10043346350886,0.003,1,0,2.15158453860947,4.34380542185368,0,147.090048085512,0.941,3.00919616066954,0,-0.42308,10.4131813356405,86.5526314854699,2.857,0,0,0,0,0,0,11583.18317796,5.66642668811243,11,0,0,0,0
DTXSID8057934,NaN,97.03,[32.39:315.5],1,0.366,0.426,76578-14-8,131860-33-8,66441-23-4|71283-80-2|113776-20-8,69806-40-2,175013-18-0,OSUHJPCHFDQAIT-UHFFFAOYSA-N,WFDXOXNFNRHQEC-UHFFFAOYSA-N,PQKBPHSEKWERTG-UHFFFAOYSA-N,MFSWTRQUCLNFOM-UHFFFAOYSA-N,HZRSNVGNWUDEFX-UHFFFAOYSA-N,DTXSID9023889,DTXSID0032520,DTXSID2032392| DTXSID2034598| DTXSID0040755,DTXSID6024123,DTXSID7032638,35.3,32.39,519,467,53.93,191.92,45.62,119.16,90.52,48.66,0,0,0,3,9.13761480106506,0.783556699594347,0.003,1,0,0.808138030127963,5.49306144334055,1.01626549630923,146.181422224869,1.842,3.55510553848137,0,0.00806,12.7594298857928,144.47040200249,4.75,0,0,0,0,0,0,16270.9924146765,6.95749737087695,80,0,0,0,0
DTXSID6026878,NaN,4.95,[0.85:16.49],0,0.197,0.395,111-76-2,110-54-3,2835-95-2,122-99-6,95-83-0,POAOYUHQDCAZBD-UHFFFAOYSA-N,VLKZOEOYAKHREP-UHFFFAOYSA-N,DBFYESDCPWWCHN-UHFFFAOYSA-N,QCDWFXQBSFUVSP-UHFFFAOYSA-N,BXIXXXYDDJVHDL-UHFFFAOYSA-N,DTXSID1024097,DTXSID0021917,DTXSID9024489,DTXSID9021976,DTXSID5020283,0.85,1.1,16,17.89,31.6,8.23,1.15,22.58,18.36,15.56,0,0,1.3987037037037,0,8.11420603886459,-0.636059670781893,0.693,0,0,1.31533124571251,3.49650756146648,0,149.308621581969,0.861,1.96424584098913,0,-0.5,6.55158382937823,32.119891462188,-0.237,0,0,0,0,0,0,3419.56262174605,4.57471097850338,2,0,0,0,0
DTXSID1026879,NaN,0.51,[0.04:1.19],1,0.222,0.595,1634-04-4,872-50-4,637-92-3,994-05-8,123-91-1,BZLVMXJERCGZMT-UHFFFAOYSA-N,SECXISVLQFMRJM-UHFFFAOYSA-N,NUMQCACRALPSHD-UHFFFAOYSA-N,HVZJRWJGKQPSFL-UHFFFAOYSA-N,RYHBNJHYFVUHQT-UHFFFAOYSA-N,DTXSID3020833,DTXSID6020856,DTXSID0025604,DTXSID8024521,DTXSID4020533,0.92,0.04,0.6,2.1,0.69,0.65,2.7,1.31,0.51,0.81,0,0,0.276388888888889,1,6.87578470540966,3.34722222222222,0.324,0,1,0,3.76120011569356,0,149.820006793555,0.607,1.75313112136193,0,-0.57143,4.14450910906295,55.7210737363761,1.046,0.276388888888889,0,1,1,0,0,8597.28421989098,4.94875989037817,7,0,0,0,0
DTXSID4027361,NaN,85.79,[3:472.38],1,0.234,0.175,3600-87-1,828-00-2,105-87-3,111-21-7,119515-38-7,VFRCNXKYZVQYLX-UHFFFAOYSA-N,PHMNXPYGVPEQSJ-UHFFFAOYSA-N,HIGQPQRQIQDZMP-UHFFFAOYSA-N,OVOUKWFJRHALDD-UHFFFAOYSA-N,QLHULAHOXSSASE-UHFFFAOYSA-N,?,DTXSID6020480,DTXSID0020654,DTXSID3026223,DTXSID0034227,3,863,823,206,12.56,7,98.31,117.96,131.93,37.7,0,0,1.15032738095238,0,8.99556075509904,4.99444444444444,0.092,1,0,0.703948602758844,4.63472898822964,0.944940787421155,148.716542515742,1.122,2.64430819723697,0,-0.44643,6.84953798816823,93.3712615993959,0.197,0,0,0,0,0,0,20954.8329454081,6.15485809401642,11,0,0,0,0
DTXSID0026880,NaN,174.43,[46.3:442.49],1,0.332,0.423,106-65-0,1119-40-0,111-21-7,4940-11-8,828-00-2,MUXOBHXGJLMRAB-UHFFFAOYSA-N,XTDYIOOONNVFMA-UHFFFAOYSA-N,OVOUKWFJRHALDD-UHFFFAOYSA-N,BDTOBOMFWCKGRG-UHFFFAOYSA-N,PHMNXPYGVPEQSJ-UHFFFAOYSA-N,DTXSID5025152,DTXSID3025122,DTXSID3026223,DTXSID5041516,DTXSID6020480,364.4,46.3,206,81,863,25.25,312.19,131.93,103.6,98.31,0,0,0,0,6.11171030879929,4.47611111111111,0.003,2,0,0.591193962332444,4.07753744390572,1.26491106406735,149.03518504679,0.748,2.24956346110651,0,-0.3,3.959943520245,29.266400635396,0.272,0,0,0,0,0,0,3751.4148006052,5.32300997913841,5,0,0,0,0
DTXSID9037246,NaN,4.51,[3:7.33],0,0.126,0.565,2609-46-3,75438-57-2,51481-61-9,1131-64-2,210880-92-5,XSDQTOBWRPYKKA-UHFFFAOYSA-N,WPNJAUFVNXKLIM-UHFFFAOYSA-N,AQIXAKUUQRKLND-UHFFFAOYSA-N,JWPGJSVJDAJRLW-UHFFFAOYSA-N,PGOOBECODWQEAB-UHFFFAOYSA-N,DTXSID9043853,DTXSID5045170,DTXSID4020329,DTXSID7022885,DTXSID2034465,3,3,5.45,3.98,10.73,2.36,5.44,3.81,6.38,3,4.24444479166667,0.860761959876543,2.52090277777778,5,8.06463362309324,1.51527777777778,0.437,0,5,0.974297837630098,4.04305126783455,0,169.274081481521,2.152,2.33355279310305,0,-0.33333,3.05512126500255,36.86019932,0.558,0.568055555555556,0,1,1,0,0,7468.98769036253,5.39816270151775,4,0,0,0,0
DTXSID3035004,NaN,10.56,[3:33.44],1,0.246,0.436,82558-50-7,1300031-49-5,70724-25-3,CHEMBL2164377,586379-66-0,PMHURSZHKKJGBM-UHFFFAOYSA-N,VUVUVNZRUGEAHB-UHFFFAOYSA-N,QJGVXJYGDBSPSJ-UHFFFAOYSA-N,AQAVDXGUHCVGJN-UHFFFAOYSA-N,KCAJXIDMCNPGHZ-UHFFFAOYSA-N,DTXSID8024159,DTXSID10680599,DTXSID00220983,?,DTXSID70207342,17.7,3.24,64.57,10,3,19.54,17.86,11.09,9.14,10.62,6.11322488497255,0.570957986768372,0.517189576985926,2,10.8637963926287,1.10396267089487,-0.207,1,0,1.07232068981169,5.50938833662798,0.540345026294057,147.348379000332,1.294,3.44862501764858,3.1611927747689,-0.14655,12.8260771076735,182.412052368547,3.884,0.517189576985926,0,1,1,0,0,25791.3770188256,7.06731984865348,90,0,0,0,0
DTXSID9042178,NaN,17.03,[3:31.54],1,0.201,0.484,110-25-8,126833-17-8,119168-77-3,66332-96-5,956136-95-1,DIOYAVUHUXAUPX-UHFFFAOYSA-N,VDLGAVXLJYLFDH-UHFFFAOYSA-N,ZZYSLNWGKKDOML-UHFFFAOYSA-N,PTCGDEVVHUXTMP-UHFFFAOYSA-N,GXALXAKNHIROPE-UHFFFAOYSA-N,DTXSID5042243,DTXSID3032549,DTXSID0034223,DTXSID8024109,?,41.7,35.27,15.94,14.17,3,16.33,16.27,14.49,10.96,12.55,4.52201198566683,4.52201198566683,1.04739366695406,1,7.64396691864574,2.69297264680622,0.472,1,0,0.683362087039551,4.89034912822175,0,147.157245822469,0.965,3.33578467405433,0,-0.45652,13.6136549776345,167.039277168827,7.789,0.399696155821266,0,1,1,0,0,26851.7312703149,6.10255859461357,19,0,0,0,0
DTXSID6025804,NaN,13.38,[0.69:50.52],0,0.198,0.374,94-59-7,100-42-5,93-15-2,97-53-0,111-65-9,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,PPBRXRYQALVLMV-UHFFFAOYSA-N,ZYEMGPIYFIJGTP-UHFFFAOYSA-N,RRAFCDWBNXTKKO-UHFFFAOYSA-N,TVMXDCGIABBOFY-UHFFFAOYSA-N,DTXSID0021254,DTXSID2021284,DTXSID5025607,DTXSID9020617,DTXSID0026882,14.12,8.52,26.56,103.62,0.69,18.27,17.82,15.4,11.07,1.81,0,0,0,0,7.25485036403167,0,0.003,0,0,0.884615384615384,3.66356164612965,0,145.10961982767,0.1,2.36702035637137,0,-0.3125,5.36759618586133,52.2294989660741,4.526,0,0,0,0,0,0,8007.65202719998,4.76217393479776,3,0,3.65832057823129,0,0
