MoleculeID,LogKM_exp,LogKM_pred,KM_predRange,AD_KM,AD_index_KM,Conf_index_KM,KM_CAS_neighbor_1,KM_CAS_neighbor_2,KM_CAS_neighbor_3,KM_CAS_neighbor_4,KM_CAS_neighbor_5,KM_InChiKey_neighbor_1,KM_InChiKey_neighbor_2,KM_InChiKey_neighbor_3,KM_InChiKey_neighbor_4,KM_InChiKey_neighbor_5,KM_DTXSID_neighbor_1,KM_DTXSID_neighbor_2,KM_DTXSID_neighbor_3,KM_DTXSID_neighbor_4,KM_DTXSID_neighbor_5,LogKM_Exp_neighbor_1,LogKM_Exp_neighbor_2,LogKM_Exp_neighbor_3,LogKM_Exp_neighbor_4,LogKM_Exp_neighbor_5,LogKM_pred_neighbor_1,LogKM_pred_neighbor_2,LogKM_pred_neighbor_3,LogKM_pred_neighbor_4,LogKM_pred_neighbor_5,MAXDP,nCl,nHBDon,nHBa,SpMax_Dt,SaasC,ATS5e,VAdjMat,nF9HeteroRing,GATS8c,GATS1v,SpMax_Dzv
DTXSID6030607,NaN,-0.09,[-0.76:0.58],1,0.507,0.517,142-96-1,1634-04-4,107-39-1,544-01-4,3074-71-3,DURPTKYDGMDSBL-UHFFFAOYSA-N,BZLVMXJERCGZMT-UHFFFAOYSA-N,FXNDIJDIPNCZQJ-UHFFFAOYSA-N,AQZGPSLYZOOYQP-UHFFFAOYSA-N,WBRFDUJXCLCKPX-UHFFFAOYSA-N,DTXSID1022007,DTXSID3020833,DTXSID4026765,DTXSID8052198,DTXSID30871008,-0.25,-0.88,0.12,-0.45,1.28,0.46,-0.44,0.33,0.52,0.73,1.56,0,0,2,19.5420230500814,0,306.722504,4,0,0,1.6705606707513,24.9387495142653
DTXSID3025041,NaN,-0.97,[-1.29:-0.59],1,0.416,0.58,79-46-9,142-96-1,78-40-0,78-59-1,108-60-1,FGLBSLMDCBOPQK-UHFFFAOYSA-N,DURPTKYDGMDSBL-UHFFFAOYSA-N,DQWPFSLDHJDLRL-UHFFFAOYSA-N,HJOVHMDZYOCNQW-UHFFFAOYSA-N,QCFYJCYNJLBDRT-UHFFFAOYSA-N,DTXSID6020981,DTXSID1022007,DTXSID8026228,DTXSID8020759,DTXSID4020167,-1.2,-0.25,-1.09,-1.29,-1.07,-0.37,0.46,-1.06,-0.86,-0.89,3.19861111111111,0,0,3,19.5420230500814,0,157.205576,4,0,0,1.52779947156621,24.4047029399908
DTXSID8025591,NaN,-1.1,[-1.39:-0.81],1,0.341,0.599,144-19-4,122-34-9,88-98-2,3296-90-0,1912-24-9,JCTXKRPTIMZBJT-UHFFFAOYSA-N,ODCWYMIRDDJXKW-UHFFFAOYSA-N,ILUAAIDVFMVTAU-UHFFFAOYSA-N,CHUGKEQJSLOLHL-UHFFFAOYSA-N,MXWJVTOOROXGIU-UHFFFAOYSA-N,DTXSID8027113,DTXSID4021268,DTXSID80861676,DTXSID9020164,DTXSID9020112,-1.34,-0.94,-0.57,-1.4,-1.05,-1.01,-0.91,-1.05,-0.65,-0.86,2.34,0,2,3,19.5420230500814,0,306.089784,4,0,0,1.57486573733919,23.9273486553226
DTXSID4020240,NaN,-0.94,[-1.27:-0.61],1,0.428,0.639,95-48-7,527-60-6,96-29-7,98-10-2,88-19-7,QWVGKYWNOKOFNN-UHFFFAOYSA-N,BPRYUXCVCCNUFE-UHFFFAOYSA-N,WHIVNJATOVLWBW-UHFFFAOYSA-N,KHBQMWCZKVMBLN-UHFFFAOYSA-N,YCMLQMDWSXFTIF-UHFFFAOYSA-N,DTXSID8021808,DTXSID7022049,DTXSID1021821,DTXSID1059159,DTXSID7021362,-0.52,-1.3,-1.33,-0.71,-0.89,-0.78,-0.91,-0.85,-0.68,-0.83,3.57194444444444,0,1,2,35.5903820123486,0,145.380096,4,0,0,1.27175680248844,16.0793248855691
DTXSID2065127,NaN,-0.93,[-1.19:-0.67],0,0.173,0.578,1912-24-9,122-34-9,144-19-4,88-98-2,479-27-6,MXWJVTOOROXGIU-UHFFFAOYSA-N,ODCWYMIRDDJXKW-UHFFFAOYSA-N,JCTXKRPTIMZBJT-UHFFFAOYSA-N,ILUAAIDVFMVTAU-UHFFFAOYSA-N,YFOOEYJGMMJJLS-UHFFFAOYSA-N,DTXSID9020112,DTXSID4021268,DTXSID8027113,DTXSID80861676,DTXSID6044432,-1.05,-0.94,-1.34,-0.57,-0.73,-0.86,-0.91,-1.01,-1.05,-0.8,1.33945548494115,0,4,4,49.628738491669,0,463.445756,4.58496250072116,0,1.09618913975548,1.50257442235866,58.0354976949924
DTXSID2033445,NaN,-0.97,[-1.23:-0.71],1,0.318,0.627,144-19-4,1912-24-9,122-34-9,88-98-2,479-27-6,JCTXKRPTIMZBJT-UHFFFAOYSA-N,MXWJVTOOROXGIU-UHFFFAOYSA-N,ODCWYMIRDDJXKW-UHFFFAOYSA-N,ILUAAIDVFMVTAU-UHFFFAOYSA-N,YFOOEYJGMMJJLS-UHFFFAOYSA-N,DTXSID8027113,DTXSID9020112,DTXSID4021268,DTXSID80861676,DTXSID6044432,-1.34,-1.05,-0.94,-0.57,-0.73,-1.01,-0.86,-0.91,-1.05,-0.8,1.34324648841018,0,2,3,39.9915290406295,0,427.984216,4.4594316186373,0,0.655066736779723,1.60998830134926,46.7212523539857
DTXSID3026722,NaN,-0.51,[-1.07:0.05],1,0.388,0.505,2497-06-5,298-04-4,950-37-8,121-75-5,1634-78-2,BKVJOVPVLOJPKJ-UHFFFAOYSA-N,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,MEBQXILRKZHVCX-UHFFFAOYSA-N,JXSJBGJIGXNWCI-UHFFFAOYSA-N,WSORODGWGUUOBO-UHFFFAOYSA-N,DTXSID8041901,DTXSID0022018,DTXSID5020819,DTXSID4020791,DTXSID9020790,-0.67,0.03,-1.15,0.29,-1.04,-0.44,0.02,-0.34,-0.68,-0.1,3.66647959183673,0,0,6,54.5488817933162,0,354.8738,4.8073549220576,0,1.26918414795393,1.4163795869384,74.0131569438017
DTXSID9051539,NaN,-0.46,[-0.96:0.04],1,0.441,0.55,2497-06-5,950-37-8,298-04-4,121-75-5,500-28-7,BKVJOVPVLOJPKJ-UHFFFAOYSA-N,MEBQXILRKZHVCX-UHFFFAOYSA-N,DOFZAZXDOSGAJZ-UHFFFAOYSA-N,JXSJBGJIGXNWCI-UHFFFAOYSA-N,NZNRRXXETLSZRO-UHFFFAOYSA-N,DTXSID8041901,DTXSID5020819,DTXSID0022018,DTXSID4020791,DTXSID9041784,-0.67,-1.15,0.03,0.29,-0.47,-0.44,-0.34,0.02,-0.68,0,3.98335201982027,0,0,6,54.5488817933162,0,349.780124,4.8073549220576,0,1.17564087267833,1.24822456043808,67.9702496191121
DTXSID2021864,NaN,-0.92,[-1.21:-0.63],1,0.595,0.719,95-48-7,527-60-6,95-78-3,95-64-7,1570-64-5,QWVGKYWNOKOFNN-UHFFFAOYSA-N,BPRYUXCVCCNUFE-UHFFFAOYSA-N,VOWZNBNDMFLQGM-UHFFFAOYSA-N,DOLQYFPDPKPQSS-UHFFFAOYSA-N,RHPUJHQBPORFGV-UHFFFAOYSA-N,DTXSID8021808,DTXSID7022049,DTXSID3026306,DTXSID3026308,DTXSID5022510,-0.52,-1.3,-0.99,-0.99,-0.83,-0.78,-0.91,-0.91,-0.91,-0.91,3.0437037037037,0,1,1,36.2467071299647,2.50083333333333,190.3023,4.16992500144231,0,0,1.00921163588999,15.6442226777895
DTXSID1059319,NaN,0.77,[-0.23:1.77],0,0.236,0.281,117-81-7,78-42-2,67614-33-9,1544-19-0,67375-30-8,BJQHLKABXJIVAM-UHFFFAOYSA-N,GTVWRXDRKAHEAD-UHFFFAOYSA-N,NYPJDWWKZLNGGM-UHFFFAOYSA-N,NILNWNGNABYYHH-UHFFFAOYSA-N,KAATUXNTWXVJKI-UHFFFAOYSA-N,DTXSID5020607,DTXSID0021414,DTXSID3020621,DTXSID20165620,DTXSID7041201,0.44,-0.29,0.69,2.79,0.7,0.27,0.8,0.44,0.21,0.13,4.57835456352341,0,0,4,248.502097507108,0,1262.08484,5.8073549220576,0,1.38993768258893,1.45307749742867,271.148709282946
